"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CENPU",1.75589415578716e-75,0.625447285203956,0.613,0.175,2.43595196232353e-71,"S/G2","CENPU"
"SGOL1",2.99401870661376e-74,0.613145804802247,0.586,0.156,4.15360215168527e-70,"S/G2","SGOL1"
"MELK",5.9826319558067e-74,0.552279255962032,0.489,0.114,8.29970531229063e-70,"S/G2","MELK"
"FEN1",1.1842296956772e-72,0.616591048328241,0.613,0.182,1.64288185681298e-68,"S/G2","FEN1"
"TPX2",4.61980999335331e-72,0.563834712618472,0.683,0.199,6.40906240377904e-68,"S/G2","TPX2"
"HMGN2",2.01666685268052e-71,0.914351765524509,1,0.931,2.79772192472369e-67,"S/G2","HMGN2"
"GMNN",3.41036799722824e-69,0.767355375000661,0.81,0.371,4.73120352255474e-65,"S/G2","GMNN"
"ASF1B",3.63857072114234e-69,0.519324555226647,0.471,0.111,5.04778916144077e-65,"S/G2","ASF1B"
"MYBL2",7.98423345156035e-68,0.496053787831493,0.447,0.101,1.10765270673497e-63,"S/G2","MYBL2"
"GTSE1",9.21991951382252e-68,0.508039114176934,0.55,0.143,1.2790794341526e-63,"S/G2","GTSE1"
"CLSPN",1.87376801613823e-67,0.622430990056392,0.595,0.176,2.59947836878857e-63,"S/G2","CLSPN"
"HMGB1",4.54717899194503e-67,0.697265042324272,1,0.994,6.30830141552534e-63,"S/G2","HMGB1"
"PTMA",1.39628301238677e-66,0.622351214913673,1,0.998,1.93706342308416e-62,"S/G2","PTMA"
"TUBB",1.11350653619273e-65,0.621826983048828,0.994,0.996,1.54476761766018e-61,"S/G2","TUBB"
"TMPO",3.96398452023949e-65,0.580508387389232,0.674,0.235,5.49923572492825e-61,"S/G2","TMPO"
"NDC80",5.68774561445238e-65,0.506178878718142,0.492,0.122,7.89060949092978e-61,"S/G2","NDC80"
"ASPM",1.71716642520072e-64,0.455824643993009,0.589,0.16,2.38222498168096e-60,"S/G2","ASPM"
"RAD51AP1",4.84104808549026e-63,0.47524209782025,0.414,0.092,6.71598600900064e-59,"S/G2","RAD51AP1"
"CENPW",2.0541016604738e-61,0.669509660253063,0.737,0.294,2.84965523357531e-57,"S/G2","CENPW"
"DIAPH3",1.32581597085699e-60,0.491299177449795,0.441,0.109,1.8393044963699e-56,"S/G2","DIAPH3"
"ANLN",5.82798544951569e-60,0.499579625465936,0.544,0.161,8.08516421411311e-56,"S/G2","ANLN"
"ATAD5",1.33737718208558e-59,0.404974792961216,0.396,0.087,1.85534336470732e-55,"S/G2","ATAD5"
"CENPA",1.52010297904072e-59,0.422056415653713,0.547,0.146,2.1088388628232e-55,"S/G2","CENPA"
"SKA3",2.35664518084382e-58,0.428906016378219,0.423,0.102,3.26937385938463e-54,"S/G2","SKA3"
"CENPK",6.35666719322584e-58,0.584780881152604,0.559,0.186,8.81860439716221e-54,"S/G2","CENPK"
"CENPN",6.44961108112913e-58,0.654454105074552,0.773,0.347,8.94754545285044e-54,"S/G2","CENPN"
"VRK1",7.23485400252461e-58,0.597468723179812,0.671,0.264,1.00369129577024e-53,"S/G2","VRK1"
"BIRC5",1.09066615064298e-57,0.584333494481741,0.831,0.331,1.513081150787e-53,"S/G2","BIRC5"
"GINS2",2.12637336140481e-55,0.606348632820782,0.707,0.287,2.94991776427689e-51,"S/G2","GINS2"
"TYMS",2.62963612780996e-55,0.772787073672647,0.852,0.494,3.64809420011075e-51,"S/G2","TYMS"
"TMEM158",3.02882154579075e-55,0.551627452262884,0.48,0.142,4.20188413047551e-51,"S/G2","TMEM158"
"KIF22",6.23931495784517e-55,0.510905703022179,0.526,0.164,8.6558016410186e-51,"S/G2","KIF22"
"CKS2",1.43653798206852e-54,0.499523613842372,0.837,0.401,1.99290914252366e-50,"S/G2","CKS2"
"CDCA4",1.57962650335207e-54,0.646305493396856,0.671,0.286,2.19141584810033e-50,"S/G2","CDCA4"
"PTTG1",3.65419358078984e-54,0.431838838737939,0.906,0.44,5.06946275462974e-50,"S/G2","PTTG1"
"TRIP13",7.96094442174031e-53,0.397540831482924,0.399,0.098,1.10442181962803e-48,"S/G2","TRIP13"
"STMN1",1.00871600538498e-52,0.712688534692509,1,0.878,1.39939171427058e-48,"S/G2","STMN1"
"PRC1",6.64059402322055e-52,0.462736247105014,0.562,0.178,9.21249608841387e-48,"S/G2","PRC1"
"CCDC34",1.32000854462279e-51,0.65078681991773,0.752,0.344,1.8312478539552e-47,"S/G2","CCDC34"
"NCAPG",1.94890485122e-51,0.455975910217807,0.468,0.134,2.7037157000975e-47,"S/G2","NCAPG"
"CKAP2L",6.19274556795916e-51,0.388929131590567,0.393,0.097,8.59119592642974e-47,"S/G2","CKAP2L"
"CDC45",9.40039839090485e-51,0.420701650626117,0.363,0.086,1.30411726877023e-46,"S/G2","CDC45"
"NUF2",1.91255922719041e-50,0.453338174793306,0.498,0.15,2.65329341588125e-46,"S/G2","NUF2"
"RTKN2",2.28885227169322e-50,0.499443006336017,0.571,0.202,3.17532475652e-46,"S/G2","RTKN2"
"PCNA",3.1885249376117e-50,0.780843841331754,0.785,0.425,4.42344064594871e-46,"S/G2","PCNA"
"MIS18A",9.07724448197593e-50,0.51703627451677,0.598,0.226,1.25928612698452e-45,"S/G2","MIS18A"
"DTYMK",1.23423819409799e-49,0.661098826508924,0.934,0.674,1.71225864667214e-45,"S/G2","DTYMK"
