"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PSMB9",1.30996883057348e-14,0.298659369588334,0.514,0.312,1.81731975865459e-10,"S/G2","PSMB9"
"PHIP",1.51687701719477e-14,0.253123406688757,0.42,0.228,2.10436348595431e-10,"S/G2","PHIP"
"PTGR1",1.70823587930337e-14,0.292568421595694,0.48,0.287,2.36983563535757e-10,"S/G2","PTGR1"
"USP48",1.8240845143443e-14,0.266342721586828,0.471,0.273,2.53055244674984e-10,"S/G2","USP48"
"TMEFF2",2.08001559610976e-14,0.314935700643991,0.583,0.366,2.88560563648306e-10,"S/G2","TMEFF2"
"SLC20A1",2.35307333066738e-14,0.272539724293644,0.387,0.207,3.26441863163486e-10,"S/G2","SLC20A1"
"HMGXB4",2.55215401239544e-14,0.26599172190838,0.426,0.236,3.54060326139619e-10,"S/G2","HMGXB4"
"SLBP",2.75095915888814e-14,0.285074971840451,0.619,0.396,3.81640564112552e-10,"S/G2","SLBP"
"PITHD1",3.02336867028534e-14,0.264173346715361,0.456,0.262,4.19431935628686e-10,"S/G2","PITHD1"
"EXOSC3",3.51565756461008e-14,0.268490841720775,0.468,0.273,4.87727173938356e-10,"S/G2","EXOSC3"
"HMGA2",3.58363415835015e-14,0.277478243318456,0.363,0.188,4.97157566787917e-10,"S/G2","HMGA2"
"RASD1",3.62401732598287e-14,0.334114989560642,0.311,0.149,5.02759923633604e-10,"S/G2","RASD1"
"EIF1AX",3.71914155964228e-14,0.323664981454959,0.819,0.67,5.15956508569173e-10,"S/G2","EIF1AX"
"SET",5.3420707948188e-14,0.326744026187497,0.846,0.695,7.41105481365212e-10,"S/G2","SET"
"NCL",7.21857286172226e-14,0.346454265543667,0.906,0.803,1.00143261310673e-09,"S/G2","NCL"
"XPO1",8.00539422366345e-14,0.260945372725831,0.498,0.3,1.11058834064883e-09,"S/G2","XPO1"
"C9orf142",8.21390400738817e-14,0.283745382297875,0.474,0.285,1.13951490294496e-09,"S/G2","C9orf142"
"PHF5A",8.5863878875287e-14,0.304122709852975,0.577,0.39,1.19118959163686e-09,"S/G2","PHF5A"
"FARSB",8.76014838843959e-14,0.254573502382959,0.408,0.227,1.21529538592822e-09,"S/G2","FARSB"
"NQO2",8.7662438542254e-14,0.279988768027936,0.462,0.275,1.21614100989669e-09,"S/G2","NQO2"
"HOXB2",9.38518707404207e-14,0.406431244240153,0.755,0.614,1.30200700278186e-09,"S/G2","HOXB2"
"TCP1",9.70689455487722e-14,0.348825044800748,0.782,0.625,1.34663748159812e-09,"S/G2","TCP1"
"ZBTB38",1.10968073225683e-13,0.292846828665105,0.517,0.322,1.5394600798599e-09,"S/G2","ZBTB38"
"CCT6A",1.18323654714954e-13,0.331004107543334,0.885,0.786,1.64150406186055e-09,"S/G2","CCT6A"
"MAD2L2",1.54087270615009e-13,0.299349433619519,0.761,0.568,2.13765270524202e-09,"S/G2","MAD2L2"
"ALG5",2.34643807062227e-13,0.296071988580161,0.571,0.38,3.25521353537428e-09,"S/G2","ALG5"
"EEF1B2",2.49968675625871e-13,0.291343099617754,0.976,0.952,3.4678154369577e-09,"S/G2","EEF1B2"
"C20orf24",2.57478473448278e-13,0.308369921569302,0.71,0.537,3.57199886214796e-09,"S/G2","C20orf24"
"UBE2I",2.6208109843514e-13,0.289368490758699,0.885,0.753,3.6358510785907e-09,"S/G2","UBE2I"
"TMEM98",2.77610497372458e-13,0.296190232307744,0.42,0.246,3.85129043004811e-09,"S/G2","TMEM98"
"NR2F1",2.94729751857902e-13,0.254707622704385,0.42,0.236,4.08878584752467e-09,"S/G2","NR2F1"
"POLD2",3.05470826003188e-13,0.298509656115568,0.725,0.531,4.23779676914223e-09,"S/G2","POLD2"
"U2AF1",3.3134141962031e-13,0.289364245265402,0.931,0.858,4.59669951439255e-09,"S/G2","U2AF1"
"NANS",3.36587475775989e-13,0.253433744437454,0.468,0.28,4.6694780514403e-09,"S/G2","NANS"
"PSMA3",3.37622146212081e-13,0.314819164357363,0.789,0.617,4.6838320344002e-09,"S/G2","PSMA3"
"TP53I13",3.42116508971103e-13,0.267417248959155,0.514,0.312,4.74618232895611e-09,"S/G2","TP53I13"
"UCHL3",4.08519857651093e-13,0.254662553272761,0.508,0.313,5.66739598519361e-09,"S/G2","UCHL3"
"GLRX3",4.37674409604254e-13,0.307086593489912,0.843,0.694,6.07185708443981e-09,"S/G2","GLRX3"
"GPSM2",4.47158240696235e-13,0.268465543240294,0.517,0.32,6.20342627317887e-09,"S/G2","GPSM2"
"LSM3",5.34117242383795e-13,0.325490284479715,0.855,0.694,7.40980850359039e-09,"S/G2","LSM3"
"FUS",5.35278667899904e-13,0.267580174252164,0.671,0.46,7.42592095977537e-09,"S/G2","FUS"
"NELFE",5.39960302010443e-13,0.258779851447921,0.574,0.378,7.49086926979088e-09,"S/G2","NELFE"
"PLEKHJ1",8.18008264996114e-13,0.260653501520408,0.644,0.433,1.13482286602911e-08,"S/G2","PLEKHJ1"
"MZT2B",8.54099075550358e-13,0.270516713878708,0.958,0.892,1.18489164751101e-08,"S/G2","MZT2B"
"CD320",9.24566046187836e-13,0.258502171746963,0.622,0.42,1.28265047587638e-08,"S/G2","CD320"
"NUCB2",1.06606421734243e-12,0.250117493875999,0.631,0.42,1.47895088871915e-08,"S/G2","NUCB2"
"ACOT7",1.09978291427943e-12,0.283991044569856,0.628,0.428,1.52572883697985e-08,"S/G2","ACOT7"
"C3orf14",1.11245966000801e-12,0.271105731327223,0.426,0.249,1.54331528632911e-08,"S/G2","C3orf14"
"SLC25A11",1.19668556223045e-12,0.26524856504235,0.644,0.44,1.6601618804823e-08,"S/G2","SLC25A11"
"WHSC1L1",2.01924512290411e-12,0.267641715742824,0.589,0.392,2.80129875900488e-08,"S/G2","WHSC1L1"
"TIMM10",2.80503250380747e-12,0.251961659935829,0.547,0.354,3.8914215925321e-08,"S/G2","TIMM10"
"HOXB5",3.9140871095781e-12,0.288425449044939,0.568,0.378,5.43001304711769e-08,"S/G2","HOXB5"
"NAP1L4",4.38491613688288e-12,0.261154744268815,0.574,0.388,6.08319415669762e-08,"S/G2","NAP1L4"
"MRPL14",4.77352609001733e-12,0.29322643530876,0.816,0.655,6.62231274468104e-08,"S/G2","MRPL14"
"EEF1E1",5.91086718135845e-12,0.277083906496843,0.601,0.408,8.20014604069858e-08,"S/G2","EEF1E1"
"RALY",6.31415774061099e-12,0.304145111515069,0.71,0.54,8.75963103354963e-08,"S/G2","RALY"
"CYB5A",7.74128508424558e-12,0.295449476645329,0.556,0.38,1.07394847973739e-07,"S/G2","CYB5A"
"KIF5B",8.08663892372368e-12,0.278355951863699,0.918,0.805,1.12185941788819e-07,"S/G2","KIF5B"
"PPM1G",1.07539030453615e-11,0.284237652081506,0.662,0.49,1.49188896948301e-07,"S/G2","PPM1G"
"LSM2",1.16726822196001e-11,0.304426411576975,0.758,0.612,1.61935120432512e-07,"S/G2","LSM2"
"BCAP29",1.23394708684406e-11,0.263192550377396,0.613,0.425,1.71185479357877e-07,"S/G2","BCAP29"
"NTMT1",1.29138165513899e-11,0.259150066665969,0.477,0.307,1.79153377017432e-07,"S/G2","NTMT1"
"NSL1",1.36563266847002e-11,0.258050845979686,0.616,0.426,1.89454220096846e-07,"S/G2","NSL1"
"GINM1",1.43003231053046e-11,0.272455039833927,0.495,0.317,1.98388382439891e-07,"S/G2","GINM1"
"MYH9",1.4435769674739e-11,0.260024874940354,0.498,0.317,2.00267432697655e-07,"S/G2","MYH9"
"RRS1",1.80035989380085e-11,0.273861110441829,0.311,0.166,2.49763928066992e-07,"S/G2","RRS1"
"LYPLA1",1.9025444688752e-11,0.276716659884037,0.74,0.573,2.63939994167057e-07,"S/G2","LYPLA1"
"AKR7A2",2.21415675838917e-11,0.253698071122123,0.607,0.43,3.0716996709133e-07,"S/G2","AKR7A2"
"S100A2",2.6420353311534e-11,0.251885639927861,0.396,0.23,3.66529561490912e-07,"S/G2","S100A2"
"SRRM2",3.59706491685606e-11,0.263505737188761,0.647,0.452,4.99020815915442e-07,"S/G2","SRRM2"
"NUDT21",3.71448357080113e-11,0.253880090809487,0.502,0.326,5.15310305777241e-07,"S/G2","NUDT21"
"ACTL6A",4.15453850906255e-11,0.260432881879414,0.644,0.467,5.76359127362248e-07,"S/G2","ACTL6A"
"HPCAL1",4.70821895225014e-11,0.276784973866129,0.595,0.418,6.53171215245661e-07,"S/G2","HPCAL1"
"PAFAH1B3",4.97069782371757e-11,0.270832417903978,0.782,0.624,6.89584909084339e-07,"S/G2","PAFAH1B3"
"SERBP1",5.52310823529947e-11,0.275420944099206,0.955,0.901,7.66220805483096e-07,"S/G2","SERBP1"
"FADS1",5.92681414561003e-11,0.258781542080086,0.589,0.409,8.2222692642048e-07,"S/G2","FADS1"
"COX5A",7.45288298462191e-11,0.272723965342943,0.949,0.881,1.0339384564566e-06,"S/G2","COX5A"
"PLAUR",8.31701451759616e-11,0.26458096821124,0.453,0.283,1.15381942402612e-06,"S/G2","PLAUR"
"COX17",9.57843399295895e-11,0.272585650972951,0.77,0.591,1.32881614784319e-06,"S/G2","COX17"
"TPM3",1.10157259137238e-10,0.267140835181482,0.798,0.647,1.5282116560109e-06,"S/G2","TPM3"
"JUN",1.65637029717334e-10,0.287885939899855,0.665,0.488,2.29788251326857e-06,"S/G2","JUN"
"DDX46",1.68485104112933e-10,0.282717684071977,0.707,0.554,2.33739384935872e-06,"S/G2","DDX46"
"MRPL55",2.3706595680612e-10,0.267806221176035,0.628,0.464,3.2888160187713e-06,"S/G2","MRPL55"
"AKAP12",2.49760662334827e-10,0.32498793537766,0.867,0.763,3.46492966857106e-06,"S/G2","AKAP12"
"ATG3",2.64303607944553e-10,0.268532521545729,0.571,0.402,3.66668395301478e-06,"S/G2","ATG3"
"RGS20",2.70358231415716e-10,0.268410115137551,0.544,0.363,3.75067974443023e-06,"S/G2","RGS20"
"UBC",3.69466983303472e-10,0.346112502037547,0.934,0.892,5.12561545936906e-06,"S/G2","UBC"
"LSM6",4.33021990154328e-10,0.308548153866946,0.855,0.774,6.00731406941099e-06,"S/G2","LSM6"
"KCNMA1",4.80219780446014e-10,0.25583439634903,0.438,0.277,6.66208901412755e-06,"S/G2","KCNMA1"
"ACAT2",7.63148675896706e-10,0.272676367566781,0.873,0.733,1.0587161580715e-05,"S/G2","ACAT2"
"XRCC5",1.02081823741886e-09,0.275571985283175,0.822,0.723,1.41618114077118e-05,"S/G2","XRCC5"
"ATP1B3",1.22526893572736e-09,0.270667665628266,0.885,0.795,1.69981559453456e-05,"S/G2","ATP1B3"
"RBM8A",1.32629323166516e-09,0.254024985170629,0.906,0.84,1.83996660028908e-05,"S/G2","RBM8A"
"HSPA8",1.33094295894779e-09,0.27760348411075,0.991,0.947,1.84641716694828e-05,"S/G2","HSPA8"
"CCDC167",1.35522036842317e-09,0.288893400732756,0.746,0.626,1.88009721711347e-05,"S/G2","CCDC167"
"HNRNPA3",1.4298297724883e-09,0.256692786163203,0.921,0.893,1.98360284337302e-05,"S/G2","HNRNPA3"
"MANF",4.56631553808427e-09,0.257095587507224,0.846,0.728,6.33484954598431e-05,"S/G2","MANF"
"CCL2",0.00341185938905059,0.261717900209291,0.257,0.189,1,"S/G2","CCL2"
"HMGN21",4.03401051997545e-68,0.968406798962044,0.996,0.933,5.59638279436194e-64,"M/Early G1","HMGN2"
"TUBA1B1",3.82626250753615e-66,0.742943534762309,1,0.995,5.3081739767049e-62,"M/Early G1","TUBA1B"
"STMN11",9.68041530961842e-61,0.935858605776908,1,0.881,1.34296401590336e-56,"M/Early G1","STMN1"
"HMGB11",4.67835015786426e-59,0.720935549254236,1,0.994,6.49027517400508e-55,"M/Early G1","HMGB1"
"BIRC51",1.5617868439063e-57,0.792521959987137,0.855,0.342,2.16666688855121e-53,"M/Early G1","BIRC5"
"HNRNPA1",1.30761893459044e-52,0.54956575897919,1,0.997,1.81405974795732e-48,"M/Early G1","HNRNPA1"
"HNRNPA2B1",4.04690991603392e-49,0.644082925158003,1,0.983,5.61427812651386e-45,"M/Early G1","HNRNPA2B1"
"TROAP",1.59928908270212e-42,0.466345327733507,0.465,0.135,2.21869374443265e-38,"M/Early G1","TROAP"
"PTTG11",4.17867573214026e-33,0.749831605322409,0.797,0.463,5.79707684319818e-29,"M/Early G1","PTTG1"
"LGALS1",2.11262178182393e-32,0.317547652178427,1,1,2.93084019792434e-28,"M/Early G1","LGALS1"
"HMGA11",3.11149849915036e-27,0.592185982433197,0.992,0.874,4.31658186787129e-23,"M/Early G1","HMGA1"
"LDHA",6.25081771164804e-27,0.468750802654016,1,0.975,8.67175941136932e-23,"M/Early G1","LDHA"
"SMS",9.98856970502737e-27,0.438112909271762,1,0.997,1.38571427517845e-22,"M/Early G1","SMS"
"LMNA",5.32837176468182e-23,0.475571881362642,0.977,0.882,7.39205014914308e-19,"M/Early G1","LMNA"
"HNRNPM",1.23996494579009e-22,0.498589063744991,0.895,0.697,1.72020336929459e-18,"M/Early G1","HNRNPM"
"H2AFZ1",1.63840067581095e-22,0.442696992712096,1,0.984,2.27295325755253e-18,"M/Early G1","H2AFZ"
"COX8A",4.37521557866783e-22,0.373478131631404,0.992,0.979,6.06973657228588e-18,"M/Early G1","COX8A"
"H2AFV1",1.43049324470468e-20,0.446822516960369,0.953,0.831,1.9845232783788e-16,"M/Early G1","H2AFV"
"ARL6IP1",5.88742041878043e-19,0.608273141324754,0.867,0.794,8.16761834697409e-15,"M/Early G1","ARL6IP1"
"OAZ1",8.32741161112081e-19,0.289766329185474,1,0.998,1.15526181281079e-14,"M/Early G1","OAZ1"
"PTMA1",1.48478993088533e-17,0.307402392398807,1,0.998,2.05984907111722e-13,"M/Early G1","PTMA"
"NACA",4.94542085272015e-17,0.283427687834259,1,0.999,6.86078234897866e-13,"M/Early G1","NACA"
"HMGN11",8.50291672545264e-17,0.335222196008247,0.992,0.978,1.17960963732204e-12,"M/Early G1","HMGN1"
"CDKN31",2.10541651183863e-16,0.333493600786159,0.445,0.214,2.92084432687373e-12,"M/Early G1","CDKN3"
"LSM5",3.71294688222171e-16,0.383631165567254,0.836,0.615,5.15097120970618e-12,"M/Early G1","LSM5"
"MZT2B1",1.12771188455948e-15,0.339349036645149,0.973,0.892,1.56447469744937e-11,"M/Early G1","MZT2B"
"SRP9",1.2625133171175e-15,0.31420653649461,1,0.984,1.7514847248371e-11,"M/Early G1","SRP9"
"S100A16",1.49987734889939e-14,0.253920306478372,1,1,2.08077984612813e-10,"M/Early G1","S100A16"
"PSME2",1.23840217219502e-13,0.382931470848951,0.855,0.716,1.71803533348615e-09,"M/Early G1","PSME2"
"DTYMK1",1.76759274018767e-13,0.327630271981424,0.875,0.687,2.45218140846235e-09,"M/Early G1","DTYMK"
"HNRNPC",1.97239863862748e-13,0.344412286206978,0.949,0.917,2.7363086313679e-09,"M/Early G1","HNRNPC"
"SVIP",2.14171949444102e-13,0.389391919307895,0.969,0.944,2.97120745463802e-09,"M/Early G1","SVIP"
"CENPN1",1.25939956229382e-12,0.28237166925513,0.621,0.372,1.74716501277021e-08,"M/Early G1","CENPN"
"KHDRBS1",4.06394005661036e-12,0.389034329755714,0.734,0.549,5.63790404053555e-08,"M/Early G1","KHDRBS1"
"NUCKS11",4.30986920983866e-12,0.328180229688084,0.891,0.804,5.97908155480918e-08,"M/Early G1","NUCKS1"
"TUBB4B1",7.93464452392551e-12,0.392680867809247,0.816,0.685,1.10077323480419e-07,"M/Early G1","TUBB4B"
"PHLDA11",1.06367509598776e-11,0.353791335531435,0.988,0.945,1.47563646066382e-07,"M/Early G1","PHLDA1"
"CKB",1.11172077798923e-11,0.332660060665952,0.977,0.942,1.54229023530446e-07,"M/Early G1","CKB"
"HSP90B1",1.59490844492996e-11,0.379476586429361,0.949,0.893,2.21261648565134e-07,"M/Early G1","HSP90B1"
"HNRNPR",7.51886275748959e-11,0.346657317672721,0.82,0.674,1.04309183034653e-06,"M/Early G1","HNRNPR"
"TSC22D11",1.23343214527574e-10,0.2841005277454,0.992,0.982,1.71114041514104e-06,"M/Early G1","TSC22D1"
"GGH1",2.29677075631817e-10,0.322769006487503,0.824,0.67,3.1863100702402e-06,"M/Early G1","GGH"
"LSM41",3.53255019743233e-10,0.26995093696815,0.934,0.862,4.90070688889787e-06,"M/Early G1","LSM4"
"PRDX6",3.57372997422189e-10,0.286336643316164,0.953,0.917,4.95783559323803e-06,"M/Early G1","PRDX6"
"HNRNPH3",3.67369543361974e-10,0.345058967248701,0.645,0.488,5.09651767506066e-06,"M/Early G1","HNRNPH3"
"HSP90AB1",4.1793769326746e-10,0.292673979964945,0.984,0.973,5.79804961869947e-06,"M/Early G1","HSP90AB1"
"RGS201",4.48881389253768e-10,0.294949265230506,0.559,0.367,6.22733151311752e-06,"M/Early G1","RGS20"
"SNRPG1",4.65121185006375e-10,0.258490926940136,0.965,0.914,6.45262619959344e-06,"M/Early G1","SNRPG"
"SRPX",1.85428465938164e-09,0.286401727935762,0.977,0.928,2.57244910796016e-05,"M/Early G1","SRPX"
"GLRX5",2.69495313694023e-09,0.281255050959001,0.641,0.471,3.73870848687717e-05,"M/Early G1","GLRX5"
"ILF2",7.74136388016485e-09,0.270241510371315,0.895,0.798,0.000107395941109527,"M/Early G1","ILF2"
"SNRPA11",9.37019292853644e-09,0.303977677469276,0.547,0.385,0.000129992686497586,"M/Early G1","SNRPA1"
"RGCC",1.83933123468161e-08,0.305344471007354,0.242,0.122,0.00025517042218738,"M/Early G1","RGCC"
"HSPD11",2.47816168038774e-08,0.318231338161789,0.918,0.895,0.000343795369920191,"M/Early G1","HSPD1"
"CCT4",5.36444646358826e-08,0.254820132305664,0.867,0.79,0.0007442096578936,"M/Early G1","CCT4"
"TMEM14B",7.40544067257136e-08,0.256191224585542,0.816,0.687,0.00102735678450582,"M/Early G1","TMEM14B"
"POLR2E",2.48155367329918e-07,0.250099959656387,0.777,0.647,0.00344265941096795,"M/Early G1","POLR2E"
"HSP90AA11",4.47209649845512e-07,0.27620700687293,1,0.992,0.00620413947230679,"M/Early G1","HSP90AA1"
"HMGN3",4.67228434053705e-07,0.250449648313535,0.844,0.758,0.00648186006562705,"M/Early G1","HMGN3"
"IL32",6.23195276533127e-07,0.27042511775825,0.398,0.255,0.00864558807134407,"M/Early G1","IL32"
"GCHFR",9.16115183987551e-07,0.260287018505909,0.648,0.51,0.0127092659474593,"M/Early G1","GCHFR"
"DCTN3",5.49188903612042e-06,0.254004942000621,0.652,0.553,0.0761889765980986,"M/Early G1","DCTN3"
"CALM3",7.33384243801243e-06,0.253506616222911,0.668,0.552,0.101742396142546,"M/Early G1","CALM3"
"MT2A",7.84267873262416e-05,0.252494642662861,0.707,0.599,1,"M/Early G1","MT2A"
"ID31",0.000193747414220226,0.361706437889199,0.676,0.619,1,"M/Early G1","ID3"
"CDC20",1.91572387760353e-261,1.76005267714619,0.89,0.129,2.65768373539938e-257,"G2/M","CDC20"
"DLGAP5",1.45151114222075e-245,1.34638269784093,0.796,0.092,2.01368140760285e-241,"G2/M","DLGAP5"
"CENPA1",1.22423155758208e-243,1.5494947371504,0.837,0.114,1.69837643983362e-239,"G2/M","CENPA"
"AURKA",6.63512938995096e-243,1.39867340019987,0.79,0.093,9.20491500267897e-239,"G2/M","AURKA"
"ASPM1",2.96662530837147e-242,1.49859069572172,0.875,0.128,4.11559929030374e-238,"G2/M","ASPM"
"NEK2",7.14298556283747e-234,0.854574533364324,0.58,0.032,9.90946387132443e-230,"G2/M","NEK2"
"CCNB1",2.97234832434878e-226,2.23981524848194,0.947,0.223,4.12353883036906e-222,"G2/M","CCNB1"
"DEPDC1",2.88393396403811e-224,1.14490159968921,0.774,0.094,4.00088158831007e-220,"G2/M","DEPDC1"
"PLK1",2.6874279269721e-216,1.12819984939483,0.677,0.068,3.7282687630884e-212,"G2/M","PLK1"
"FAM64A",5.31931896092737e-215,1.07597344161063,0.665,0.063,7.37949119449454e-211,"G2/M","FAM64A"
"TPX21",6.8150988873119e-211,1.47863030021196,0.9,0.176,9.4545866863678e-207,"G2/M","TPX2"
"CDCA31",7.12084014896494e-211,1.43421404185629,0.828,0.136,9.87874153865906e-207,"G2/M","CDCA3"
"CDCA8",2.66945733727497e-200,0.84952832806261,0.624,0.058,3.70333816400156e-196,"G2/M","CDCA8"
"CCNB21",5.20509611895692e-200,1.46935435737117,0.868,0.164,7.22102984582893e-196,"G2/M","CCNB2"
"CCNA21",9.1418342656735e-200,1.32845533800346,0.828,0.141,1.26824666767688e-195,"G2/M","CCNA2"
"TOP2A1",3.02081176308182e-199,1.81789962845482,0.897,0.19,4.19077215892341e-195,"G2/M","TOP2A"
"CENPE1",1.98079017565805e-195,1.07407215323893,0.708,0.089,2.74795021069042e-191,"G2/M","CENPE"
"MKI671",1.71981560336951e-188,1.45325510548052,0.89,0.186,2.38590018655452e-184,"G2/M","MKI67"
"CENPF1",6.20848484759381e-186,2.35006188310831,0.991,0.411,8.61303102906689e-182,"G2/M","CENPF"
"PTTG12",1.35677850013485e-185,2.22438359938062,0.994,0.432,1.88225881323708e-181,"G2/M","PTTG1"
"CKS21",3.89780579005596e-178,2.24546429581029,0.947,0.39,5.40742597254463e-174,"G2/M","CKS2"
"PRC11",2.71710164190112e-177,1.24858940517355,0.796,0.152,3.76943510780942e-173,"G2/M","PRC1"
"NUSAP11",6.87451914813031e-176,1.78106541142349,0.944,0.285,9.53702041420118e-172,"G2/M","NUSAP1"
"HMGB21",1.20033211967628e-175,1.98824141385322,0.969,0.341,1.66522074962691e-171,"G2/M","HMGB2"
"KNSTRN",6.99682531045182e-168,1.10576566898268,0.693,0.111,9.70669575318981e-164,"G2/M","KNSTRN"
"PBK1",9.35023573177323e-168,1.38521435667855,0.9,0.232,1.2971582030689e-163,"G2/M","PBK"
"SGOL21",1.06157294861118e-163,1.1071113875476,0.73,0.128,1.4727201516083e-159,"G2/M","SGOL2"
"CDKN32",8.33808466658738e-163,1.14226108359491,0.799,0.167,1.15674248579567e-158,"G2/M","CDKN3"
"GTSE11",2.97114292921183e-162,1.01241106505451,0.727,0.124,4.12186658569557e-158,"G2/M","GTSE1"
"KIF20B1",1.81454045467102e-161,1.20630876570567,0.784,0.161,2.5173119727651e-157,"G2/M","KIF20B"
"BIRC52",8.41623335009834e-160,1.47981844168665,0.956,0.318,1.16758405265914e-155,"G2/M","BIRC5"
"KIF20A",8.35259828264958e-156,0.613350018483624,0.436,0.03,1.15875595975198e-151,"G2/M","KIF20A"
"UBE2C1",4.32952979862597e-152,2.39390631546979,0.871,0.264,6.00635668963381e-148,"G2/M","UBE2C"
"NUF21",2.99859206674186e-150,1.01255774341748,0.705,0.127,4.15994677419098e-146,"G2/M","NUF2"
"CEP551",4.04503657009613e-149,0.879869370478166,0.649,0.102,5.61167923369436e-145,"G2/M","CEP55"
"BUB1",3.00464308078706e-147,0.689814102265223,0.542,0.063,4.16834134597589e-143,"G2/M","BUB1"
"CKAP21",1.03763211798802e-146,1.3605826028651,0.887,0.283,1.43950703728478e-142,"G2/M","CKAP2"
"FAM83D",8.85616596487517e-142,0.670618151697111,0.483,0.048,1.22861590430713e-137,"G2/M","FAM83D"
"KIF231",2.03590637102633e-141,0.837662810357476,0.627,0.098,2.82441290852482e-137,"G2/M","KIF23"
"UBE2S1",3.9984723232096e-135,1.48676496057065,0.931,0.408,5.54708065398868e-131,"G2/M","UBE2S"
"PIF1",1.06537618395134e-131,0.576979396366029,0.37,0.025,1.4779963799957e-127,"G2/M","PIF1"
"NDC801",1.59304697203657e-130,0.842276521413671,0.627,0.108,2.21003406430633e-126,"G2/M","NDC80"
"TROAP1",7.01257632267806e-130,0.812151055849184,0.624,0.109,9.72854713245127e-126,"G2/M","TROAP"
"KIF2C",3.33707907191472e-129,0.651621892645744,0.505,0.063,4.62952979646729e-125,"G2/M","KIF2C"
"HJURP1",1.65309425419868e-127,0.727144956003422,0.52,0.07,2.29333765884983e-123,"G2/M","HJURP"
"RACGAP1",2.02467046055328e-127,0.664083877924149,0.524,0.071,2.80882532992556e-123,"G2/M","RACGAP1"
"SMC41",3.43847414396031e-127,1.38567632478268,0.937,0.402,4.77019517991613e-123,"G2/M","SMC4"
"HMMR",2.53654423705454e-126,0.705191300244537,0.492,0.061,3.51894782006576e-122,"G2/M","HMMR"
"CDCA21",3.80530724125206e-126,0.7679270555925,0.558,0.085,5.27910273578898e-122,"G2/M","CDCA2"
"ARL6IP11",1.46767132321321e-122,1.6508901922611,0.994,0.777,2.03610042669368e-118,"G2/M","ARL6IP1"
"MAD2L11",4.08692108386313e-120,1.19376508647294,0.875,0.302,5.66978561964333e-116,"G2/M","MAD2L1"
"KIF14",1.14240565181215e-118,0.493098737999612,0.395,0.036,1.584859360759e-114,"G2/M","KIF14"
"SGOL11",2.92526118859798e-116,0.900361852182424,0.668,0.148,4.05821484694197e-112,"G2/M","SGOL1"
"CALM21",1.38527561957349e-115,1.18512705756471,1,0.974,1.9217928670343e-111,"G2/M","CALM2"
"KIF18A",2.03886518251917e-115,0.498243095164064,0.392,0.038,2.82851766770885e-111,"G2/M","KIF18A"
"GAS2L3",5.9798009455412e-114,0.451325680852206,0.313,0.02,8.29577785174931e-110,"G2/M","GAS2L3"
"ARHGAP11A1",7.50566255854414e-112,0.701499693853524,0.539,0.09,1.04126056674683e-107,"G2/M","ARHGAP11A"
"HMGB3",3.36221107385915e-111,1.14332336788211,0.909,0.439,4.6643954227648e-107,"G2/M","HMGB3"
"AURKB1",5.0181158107095e-110,0.738994114692827,0.611,0.12,6.96163206419728e-106,"G2/M","AURKB"
"CKS1B1",5.63083778934916e-109,1.31669086372635,0.959,0.541,7.81166126516409e-105,"G2/M","CKS1B"
"HMGN22",1.37567966920454e-107,1.16369605344634,1,0.932,1.90848040508745e-103,"G2/M","HMGN2"
"KIF4A1",2.68344023509064e-107,0.854367071531731,0.677,0.163,3.72273663814124e-103,"G2/M","KIF4A"
"STMN12",6.18577363928429e-107,1.193631345183,0.997,0.878,8.58152376977909e-103,"G2/M","STMN1"
"CKAP2L1",4.68297704644262e-106,0.668529280630955,0.511,0.084,6.49669405652985e-102,"G2/M","CKAP2L"
"MXD31",1.81860422226803e-103,0.678370691270634,0.498,0.083,2.52294963755243e-99,"G2/M","MXD3"
"KIF111",2.64058924944714e-103,0.584414533713743,0.47,0.07,3.66328946575802e-99,"G2/M","KIF11"
"NCAPG1",2.98846185128553e-101,0.729254083330494,0.586,0.122,4.14589312628842e-97,"G2/M","NCAPG"
"H2AFZ2",6.86135740902755e-100,1.06924379088522,1,0.983,9.51876113354392e-96,"G2/M","H2AFZ"
"HMGB12",6.51745900418482e-99,0.904609955695606,1,0.994,9.04167087650561e-95,"G2/M","HMGB1"
"CDK11",6.86071258596878e-98,1.59660258118058,0.771,0.272,9.51786657051449e-94,"G2/M","CDK1"
"KPNA21",3.48815825815783e-97,1.77219899834425,0.84,0.393,4.83912195154235e-93,"G2/M","KPNA2"
"PSRC1",2.36998080456394e-96,0.665655645989593,0.545,0.111,3.28787437017156e-92,"G2/M","PSRC1"
"TACC3",1.25267823474619e-95,0.554481234034497,0.486,0.082,1.7378405150634e-91,"G2/M","TACC3"
"TUBB4B2",9.82043415381468e-93,1.20214451086539,0.959,0.666,1.36238883015871e-88,"G2/M","TUBB4B"
"SPC251",1.06160922913399e-92,0.739878637940595,0.63,0.151,1.47277048357759e-88,"G2/M","SPC25"
"MZT11",1.62084591689873e-90,0.9899552059913,0.806,0.323,2.24859954051361e-86,"G2/M","MZT1"
"MIS18BP11",1.87584148870523e-90,0.709712441647204,0.592,0.143,2.60235489728077e-86,"G2/M","MIS18BP1"
"H2AFX1",2.62840099349588e-90,0.810425401955,0.765,0.251,3.64638069827684e-86,"G2/M","H2AFX"
