"","Phase","recat"
"477","S","G1S"
"478","G2M","M"
"479","S","G1S"
"480","S","G1"
"481","G2M","G2M"
"482","G2M","M"
"483","G1","G1"
"484","G2M","G2M"
"485","G1","G1"
"486","G1","G1"
"487","G1","G1"
"488","S","G1S"
"489","G1","G1"
"490","S","G1"
"491","G1","G1"
"492","G2M","M"
"493","S","G1S"
"494","G1","G1"
"495","S","G1S"
"496","S","G1S"
"497","G1","G1"
"498","G2M","G2M"
"499","G2M","M"
"500","S","G1S"
"501","G1","G1"
"502","S","G1S"
"503","S","G1"
"504","S","G1"
"505","S","G1S"
"506","G2M","M"
"507","G1","G1"
"508","G2M","M"
"509","S","G1S"
"510","G1","G1"
"511","G1","G1"
"512","G1","G1"
"513","G1","G1"
"514","S","G1"
"515","G2M","M"
"516","G2M","M"
"517","S","G1S"
"518","G2M","M"
"519","S","G1"
"520","G1","G1"
"521","S","S"
"522","G1","G1"
"523","G1","G1"
"524","G1","G1"
"525","S","G1S"
"526","S","G1S"
"527","G2M","M"
"528","G1","G1"
"529","G1","G1"
"530","G1","G1"
"531","G2M","M"
"532","G1","G1"
"533","G2M","G1"
"534","G1","G1"
"535","S","G1S"
"536","G1","G1"
"537","G1","G1"
"538","G1","G1"
"539","S","G1S"
"540","G2M","M"
"541","G1","G1"
"542","S","G1S"
"543","S","G1"
"544","G1","G1"
"545","S","G1"
"546","G1","G1"
"547","G1","G1"
"548","G1","G1"
"549","G2M","M"
"550","S","G1"
"551","G1","G1S"
"552","S","G1"
"553","G2M","M"
"554","G2M","G2"
"555","S","G1S"
"556","G2M","G2"
"557","G1","G1"
"558","S","G1"
"559","G1","G1"
"560","S","G1S"
"561","S","G1"
"562","G1","G1"
"563","S","G1S"
"564","G2M","M"
"565","G1","G1"
"566","G1","G1"
"567","S","S"
"568","S","G1S"
"569","G1","G1"
"570","G1","G1"
"571","G1","G1"
"572","S","G1S"
"573","G1","G1"
"574","G1","G1"
"575","S","G1S"
"576","G2M","G2M"
"577","S","G1"
"578","G2M","M"
"579","G1","G1"
"580","G1","G1"
"581","G1","G1"
"582","S","G1S"
"583","G1","G1"
"584","G2M","M"
"585","G2M","G2M"
"586","S","G1"
"587","G1","G1"
"588","G1","G1"
"589","G1","G1"
"590","G1","G1"
"591","S","G1"
"592","G1","G1"
"593","G2M","M"
"594","G1","G1"
"595","G1","G1"
"596","G1","G1"
"597","S","G1"
"598","S","G1"
"599","G1","G1"
"600","G1","G1"
"601","G1","G1"
"602","G1","G1"
"603","G1","G1"
"604","S","G1S"
"605","G1","G1"
"606","S","S"
"607","S","G1S"
"608","G1","G1"
"609","G2M","G2"
"610","G1","G1"
"611","S","G1S"
"612","S","G1S"
"613","G1","G1"
"614","G2M","G2M"
"615","S","G1"
"616","G2M","G1"
"617","G1","G1"
"618","G1","G1"
"619","G2M","M"
"620","G2M","M"
"621","S","G1S"
"622","G1","G1"
"623","G1","G1"
"624","G2M","M"
"625","G2M","M"
"626","S","G1S"
"627","S","G1"
"628","S","G1S"
"629","G1","G1"
"630","G1","G1"
"631","G1","G1"
"632","S","G1S"
"633","G1","G1"
"634","G1","G1"
"635","S","G1S"
"636","G1","G1"
"637","G2M","G2"
"638","G1","G1"
"639","G2M","M"
"640","S","G1S"
"641","S","G1S"
"642","G1","G1"
"643","G1","G1"
"644","G2M","G2"
"645","G1","G1"
"646","G2M","M"
"647","G1","G1"
"648","G1","G1"
"649","G1","M"
"650","S","G1"
"651","G2M","M"
"652","G1","G1"
"653","S","G1"
"654","S","G1"
"655","G1","G1"
"656","G1","G1"
"657","S","G1S"
"658","G1","G1"
"659","G2M","G1S"
"660","S","G1S"
"661","G1","G1"
"662","G2M","M"
"663","G2M","G2M"
"664","G1","G1"
"665","G1","G1"
"666","G1","G1"
"667","G1","G1"
"668","G2M","M"
"669","S","G1S"
"670","G2M","G1S"
"671","G1","G1"
"672","G1","G1"
"673","G2M","S"
"674","G2M","M"
"675","S","G1S"
"676","G1","G1"
"677","S","G1"
"678","G1","G1"
"679","G2M","G1S"
"680","S","G1S"
"681","G2M","G2"
"682","S","G1"
"683","G2M","M"
"684","G1","G1"
"685","G1","G1"
"686","G1","G1"
"687","G2M","M"
"688","G1","G1"
"689","G1","G1"
"690","G1","G1"
"691","G1","G1"
"692","G1","G1"
"693","G2M","M"
"694","G1","G1"
"695","G2M","M"
"696","G1","G1"
"697","G1","G1"
"698","G1","G1"
"699","G1","G1"
"700","G1","G1"
"701","S","G1S"
"702","G1","G1"
"703","G1","G1"
"704","S","G1S"
"705","G1","G1"
"706","G1","G1"
"707","S","G1"
"708","G1","G1"
"709","G1","G1"
"710","G1","G1"
"711","S","S"
"712","S","G1S"
"713","G2M","M"
"714","S","G1"
"715","G1","G1"
"716","S","G1S"
"717","G1","G1"
"718","G1","G1"
"719","S","G1"
"720","G1","G1"
"721","G1","G1"
"722","S","G1S"
"723","S","G1"
"724","G2M","G1S"
"725","S","G1"
"726","S","G1"
"727","G2M","G2"
"728","S","G1S"
"729","S","G1"
"730","G1","G1"
"731","G2M","G2"
"732","G2M","M"
"733","G1","G1"
"734","G2M","M"
"735","G1","G1"
"736","G2M","M"
"737","G1","G1"
"738","G2M","M"
"739","G1","G1"
"740","G1","G1"
"741","S","G1S"
"742","S","G2M"
"743","G1","G1"
"744","G2M","M"
"745","S","S"
"746","G1","G1"
"747","G1","G1"
"748","S","G1S"
"749","G2M","M"
"750","G1","G1"
"751","G1","G1"
"752","G2M","M"
"753","G1","G1"
"754","G1","G1"
"755","G1","G1"
"756","G1","G1"
"757","S","G1"
"758","S","G1S"
"759","G2M","G1S"
"760","S","G1S"
"761","G1","G1"
"762","G2M","G2M"
"763","G1","G1"
"764","G1","G1"
"765","G1","G1"
"766","G2M","M"
"767","G1","G1S"
"768","G1","G1"
"769","S","G1S"
"770","G2M","M"
"771","G2M","M"
"772","G2M","G2M"
"773","G2M","M"
"774","S","M"
"775","G1","G1"
"776","G1","G1"
"777","G1","G1"
"778","G1","G1"
"779","G2M","G2"
"780","G1","G1"
"781","G1","G1"
"782","G1","M"
"783","G1","G1"
"784","S","G1S"
"785","S","G1"
"786","G1","G1"
"787","G1","G1"
"788","G1","G1"
"789","G1","G1"
"790","G1","G1"
"791","S","G1S"
"792","G1","G1"
"793","G2M","M"
"794","G1","G1"
"795","G1","G1"
"796","S","G1S"
"797","G1","G1"
"798","S","G1"
"799","G2M","M"
"800","S","G1S"
"801","G1","G1"
"802","S","G1"
"803","S","G1S"
"804","G1","G1"
"805","G1","G1"
"806","G1","G1"
"807","G1","G1"
"808","G2M","M"
"809","G1","G1"
"810","G1","G1"
"811","G2M","M"
"812","G1","G1"
"813","G2M","G1S"
"814","G1","G1"
"815","G1","G1"
"816","G2M","G2M"
