"","x"
"1058","G1/G0"
"1059","G2/M"
"1060","S"
"1061","M"
"1062","G1/G0"
"1063","G2/M"
"1064","S"
"1065","G1/G0"
"1066","G2/M"
"1067","G2/M"
"1068","G1/G0"
"1069","G1/G0"
"1070","G1/G0"
"1071","G1/G0"
"1072","S"
"1073","S"
"1074","G2/M"
"1075","G1/G0"
"1076","G2/M"
"1077","S"
"1078","G2/M"
"1079","G2/M"
"1080","G2/M"
"1081","G1/G0"
"1082","G1/G0"
"1083","G2/M"
"1084","S"
"1085","G1/G0"
"1086","G2/M"
"1087","G1/G0"
"1088","S"
"1089","S"
"1090","G1/G0"
"1091","G1/G0"
"1092","G1/G0"
"1093","S"
"1094","G2/M"
"1095","S"
"1096","S"
"1097","G1/G0"
"1098","G1/G0"
"1099","G1/G0"
"1100","S"
"1101","S"
"1102","G1/G0"
"1103","S"
"1104","G1/G0"
"1105","S"
"1106","S"
"1107","G1/G0"
"1108","G1/G0"
"1109","G1/G0"
"1110","G2/M"
"1111","M"
"1112","S"
"1113","S"
"1114","G2/M"
"1115","M"
"1116","S"
"1117","S"
"1118","G1/G0"
"1119","M"
"1120","G1/G0"
"1121","G1/G0"
"1122","G2/M"
"1123","S"
"1124","S"
"1125","S"
"1126","G2/M"
"1127","G1/G0"
"1128","S"
"1129","G2/M"
"1130","G1/G0"
"1131","G2/M"
"1132","G1/G0"
"1133","S"
"1134","G2/M"
"1135","S"
"1136","G1/G0"
"1137","G1/G0"
"1138","G1/G0"
"1139","G2/M"
"1140","M"
"1141","G2/M"
"1142","G2/M"
"1143","G1/G0"
"1144","G1/G0"
"1145","S"
"1146","S"
"1147","S"
"1148","G1/G0"
"1149","G2/M"
"1150","G1/G0"
"1151","G2/M"
"1152","S"
"1153","G1/G0"
"1154","G1/G0"
"1155","S"
"1156","G2/M"
"1157","G2/M"
"1158","S"
"1159","G1/G0"
"1160","S"
"1161","G1/G0"
"1162","S"
"1163","S"
"1164","G1/G0"
"1165","G1/G0"
"1166","G2/M"
"1167","S"
"1168","S"
"1169","G1/G0"
"1170","G2/M"
"1171","G2/M"
"1172","G1/G0"
"1173","G1/G0"
"1174","S"
"1175","S"
"1176","G1/G0"
"1177","G1/G0"
"1178","G1/G0"
"1179","G1/G0"
"1180","G1/G0"
"1181","G2/M"
"1182","G1/G0"
"1183","G1/G0"
"1184","G1/G0"
"1185","G1/G0"
"1186","G2/M"
"1187","G1/G0"
"1188","G1/G0"
"1189","G2/M"
"1190","G1/G0"
"1191","G1/G0"
"1192","G2/M"
"1193","G2/M"
"1194","S"
"1195","G1/G0"
"1196","G1/G0"
"1197","S"
"1198","G1/G0"
"1199","G2/M"
"1200","G2/M"
"1201","G2/M"
"1202","S"
"1203","G1/G0"
"1204","S"
"1205","S"
"1206","G1/G0"
"1207","G2/M"
"1208","S"
"1209","G1/G0"
"1210","G2/M"
"1211","G2/M"
"1212","M"
"1213","M"
"1214","G2/M"
"1215","G2/M"
"1216","G1/G0"
"1217","G2/M"
"1218","S"
"1219","S"
"1220","S"
"1221","G1/G0"
"1222","G1/G0"
"1223","S"
"1224","M"
"1225","G1/G0"
"1226","G2/M"
"1227","S"
"1228","S"
"1229","S"
"1230","G1/G0"
"1231","G2/M"
"1232","G2/M"
"1233","G1/G0"
"1234","G1/G0"
"1235","G2/M"
"1236","G1/G0"
"1237","G1/G0"
"1238","G1/G0"
"1239","G2/M"
"1240","S"
"1241","S"
"1242","S"
"1243","G1/G0"
"1244","G1/G0"
"1245","G1/G0"
"1246","G2/M"
"1247","G1/G0"
"1248","S"
"1249","G1/G0"
"1250","G2/M"
"1251","G1/G0"
"1252","G2/M"
"1253","G1/G0"
"1254","G2/M"
"1255","G1/G0"
"1256","G2/M"
"1257","S"
"1258","G1/G0"
"1259","G2/M"
"1260","G1/G0"
"1261","S"
"1262","G1/G0"
"1263","S"
"1264","G1/G0"
"1265","S"
"1266","G1/G0"
"1267","S"
"1268","S"
"1269","S"
"1270","S"
"1271","G1/G0"
"1272","G1/G0"
"1273","G1/G0"
"1274","G2/M"
"1275","G2/M"
"1276","S"
"1277","G1/G0"
"1278","G1/G0"
"1279","G2/M"
"1280","G1/G0"
"1281","G1/G0"
"1282","S"
"1283","G1/G0"
"1284","G1/G0"
"1285","G1/G0"
"1286","M"
"1287","G2/M"
"1288","S"
"1289","G2/M"
"1290","G2/M"
"1291","G1/G0"
"1292","G2/M"
"1293","M"
"1294","M"
"1295","S"
"1296","G1/G0"
"1297","G2/M"
"1298","G1/G0"
"1299","G1/G0"
"1300","G2/M"
"1301","G1/G0"
"1302","S"
"1303","G1/G0"
"1304","G1/G0"
"1305","S"
"1306","G1/G0"
"1307","G1/G0"
"1308","G1/G0"
"1309","S"
"1310","G1/G0"
"1311","G1/G0"
"1312","M"
"1313","M"
"1314","G2/M"
"1315","G1/G0"
"1316","S"
"1317","S"
"1318","M"
"1319","S"
"1320","G2/M"
"1321","S"
"1322","M"
"1323","G1/G0"
"1324","G1/G0"
"1325","G2/M"
"1326","G1/G0"
"1327","G1/G0"
"1328","S"
"1329","S"
"1330","G1/G0"
"1331","G1/G0"
"1332","S"
"1333","G2/M"
"1334","S"
"1335","G2/M"
"1336","G1/G0"
"1337","M"
"1338","G2/M"
"1339","G1/G0"
"1340","G1/G0"
"1341","S"
"1342","G2/M"
"1343","S"
"1344","G1/G0"
"1345","G1/G0"
"1346","G1/G0"
"1347","G2/M"
"1348","M"
"1349","G2/M"
"1350","G2/M"
