"","ccAF","recat"
"14074","S","G1"
"14075","S/G2","G1"
"14076","Late G1","S"
"14077","G1","G1"
"14078","G1","G1"
"14079","G1","G1"
"14080","S/G2","M"
"14081","G1","G1"
"14082","G2/M","M"
"14083","S/G2","M"
"14084","G1","G1"
"14085","G1","G1"
"14086","Late G1","G1"
"14087","G2/M","G1"
"14088","G1","G1"
"14089","G1","G1"
"14090","Neural G0","G1"
"14091","G1","G1"
"14092","M/Early G1","G1"
"14093","M/Early G1","G1"
"14094","Neural G0","G1"
"14095","Neural G0","G1"
"14096","G2/M","M"
"14097","G1","G1"
"14098","S","G1"
"14099","G1","G1"
"14100","Neural G0","G1"
"14101","G2/M","M"
"14102","Late G1","G1"
"14103","Neural G0","G1"
"14104","G1","G1"
"14105","S","S"
"14106","G1","G1"
"14107","Neural G0","G1"
"14108","G2/M","M"
"14109","G2/M","M"
"14110","Neural G0","G1"
"14111","S/G2","M"
"14112","S/G2","M"
"14113","Neural G0","G1"
"14114","G1","G1"
"14115","Neural G0","G1"
"14116","G1","G1"
"14117","G1","G1"
"14118","Late G1","G1"
"14119","M/Early G1","G1"
"14120","M/Early G1","G1"
"14121","Neural G0","G1"
"14122","G1","G1"
"14123","G2/M","M"
"14124","G1","G1"
"14125","G1","G1"
"14126","G2/M","M"
"14127","S","G1"
"14128","Neural G0","G1"
"14129","S/G2","M"
"14130","G1","G1"
"14131","G1","G1"
"14132","G1","G1"
"14133","G1","G1"
"14134","G1","G1"
"14135","Neural G0","G1"
"14136","G1","G1"
"14137","G1","G1"
"14138","G1","G1"
"14139","G2/M","M"
"14140","G1","G1"
"14141","G1","G1"
"14142","G1","G1"
"14143","S/G2","G1"
"14144","Neural G0","G1"
"14145","Neural G0","G1"
"14146","G1","G1"
"14147","M/Early G1","G1"
"14148","Neural G0","G1"
"14149","G2/M","M"
"14150","G1","G1"
"14151","S","G1"
"14152","G1","G1"
"14153","M/Early G1","G1"
"14154","G1","G1"
"14155","G1","G1"
"14156","G1","G1"
"14157","G1","G1"
"14158","G1","G1"
"14159","G1","G1"
"14160","G1","G1"
"14161","G1","G1"
"14162","Neural G0","G1"
"14163","S","G1"
"14164","S/G2","S"
"14165","Late G1","G1"
"14166","S","G1S"
"14167","G2/M","M"
"14168","S/G2","G1"
"14169","G1","G1"
"14170","G2/M","G2"
"14171","Neural G0","G1"
"14172","G2/M","M"
"14173","G1","G1"
"14174","Neural G0","G1"
"14175","S/G2","G1"
"14176","S/G2","G2"
"14177","M/Early G1","G1"
"14178","G1","G1"
"14179","Neural G0","G1"
"14180","G1","G1"
"14181","G1","G1"
"14182","G1","G1"
"14183","M/Early G1","G1"
"14184","G2/M","M"
"14185","S/G2","G2M"
"14186","Neural G0","G1"
"14187","G1","G1"
"14188","G1","G1"
"14189","Neural G0","G1"
"14190","S","S"
"14191","G1","S"
"14192","G1","G1"
"14193","G1","G1"
"14194","Late G1","G1"
"14195","G1","G1"
"14196","S/G2","G2"
"14197","Neural G0","G1"
"14198","G1","G1"
"14199","G1","G1"
"14200","Neural G0","G1"
"14201","G1","G1"
"14202","S","M"
"14203","Neural G0","G1"
"14204","S","G1"
"14205","S","G1"
"14206","S","G1"
"14207","G2/M","M"
"14208","G1","M"
"14209","G2/M","M"
"14210","M/Early G1","G1"
"14211","S","G1"
"14212","Late G1","G1"
"14213","G1","G1"
"14214","Neural G0","G1"
"14215","G2/M","M"
"14216","Neural G0","G1"
"14217","Late G1","G1"
"14218","G1","G1"
"14219","G1","G1"
"14220","S/G2","S"
"14221","Neural G0","G1"
"14222","Late G1","G1"
"14223","S","G1S"
"14224","G1","G1"
"14225","S","G1"
"14226","G1","G1"
"14227","S/G2","M"
"14228","M/Early G1","M"
"14229","G1","G1"
"14230","G1","G1"
"14231","G2/M","M"
"14232","G1","G1"
"14233","G1","G1"
"14234","S/G2","G1"
"14235","G1","G1"
"14236","G1","G1"
"14237","G2/M","M"
"14238","G2/M","M"
"14239","G1","G1"
"14240","Neural G0","G1"
"14241","Late G1","G1"
"14242","G1","G1"
"14243","G1","G1"
"14244","Neural G0","G1"
"14245","G1","G1"
"14246","M/Early G1","G1"
"14247","S/G2","M"
"14248","Late G1","G1"
"14249","G1","G1"
"14250","S","G1"
"14251","G1","G1"
"14252","S","G1"
"14253","Late G1","G1"
"14254","S/G2","G2"
"14255","Neural G0","G1"
"14256","G1","G1"
"14257","Neural G0","G1"
"14258","G1","G1"
"14259","Neural G0","G1"
"14260","S/G2","M"
"14261","G1","G1"
"14262","G1","G1"
"14263","G1","G1"
"14264","G1","G1"
"14265","M/Early G1","M"
"14266","G1","G1"
"14267","G1","G1"
"14268","S","G1S"
"14269","G1","G1"
"14270","G1","G1"
"14271","M/Early G1","G1"
"14272","Neural G0","G1"
"14273","G2/M","M"
"14274","M/Early G1","G1"
"14275","G1","G1"
"14276","S/G2","G2M"
"14277","Neural G0","G1"
"14278","G2/M","M"
"14279","G1","G1"
"14280","G1","G1"
"14281","Late G1","G1"
"14282","G1","G1"
"14283","Neural G0","G1"
"14284","S/G2","G1"
"14285","G1","G1"
"14286","G1","G1"
"14287","S","G1"
"14288","M/Early G1","G1"
"14289","G2/M","G2M"
"14290","G2/M","G1"
"14291","S","G1"
"14292","G1","G1"
"14293","M/Early G1","G1"
"14294","S","G1"
"14295","G1","G1"
"14296","M/Early G1","M"
"14297","G2/M","G1"
"14298","Late G1","G1"
"14299","G1","G1"
"14300","S","G1S"
"14301","Late G1","G1"
"14302","G2/M","G2M"
"14303","M/Early G1","G1"
"14304","G1","G1"
"14305","G1","G1"
"14306","G1","G1"
"14307","Neural G0","G1S"
"14308","G2/M","G2M"
"14309","G1","G1"
"14310","G1","G1"
"14311","S/G2","M"
"14312","G2/M","M"
"14313","G1","G1"
"14314","G1","G2M"
"14315","Neural G0","G1"
"14316","Neural G0","G1"
"14317","Neural G0","G1"
"14318","G1","G1"
"14319","G1","G1"
"14320","G1","G1"
"14321","S/G2","G1S"
"14322","Neural G0","G2M"
"14323","G1","G1"
"14324","G1","G1"
"14325","Late G1","G1"
"14326","G1","G1"
"14327","Neural G0","G1"
"14328","Neural G0","G2"
"14329","S/G2","M"
"14330","S/G2","M"
"14331","S/G2","G2M"
"14332","S","G1"
"14333","Late G1","G1"
"14334","G1","G1"
"14335","G1","G1"
"14336","G2/M","G1"
"14337","G1","G1"
"14338","Neural G0","G1"
"14339","G2/M","M"
"14340","S","G1"
"14341","M/Early G1","G1"
"14342","G2/M","M"
"14343","Late G1","G1"
"14344","S/G2","G1S"
"14345","Neural G0","G1"
"14346","S/G2","G1"
"14347","S/G2","G2M"
"14348","G1","G1"
"14349","G1","G1"
"14350","G1","G1"
"14351","S","G1"
"14352","Neural G0","G1"
"14353","S","G1S"
"14354","S","G1S"
"14355","Late G1","G1"
"14356","S","G1S"
"14357","Neural G0","G1"
"14358","G1","G1"
"14359","G1","M"
"14360","G1","G1"
"14361","G1","G1"
"14362","Late G1","S"
"14363","G2/M","M"
"14364","M/Early G1","G1"
"14365","M/Early G1","M"
"14366","M/Early G1","G1"
"14367","G1","G1"
"14368","Neural G0","G1"
"14369","G1","G1"
"14370","S/G2","G1"
"14371","G1","G1"
"14372","Neural G0","G1"
"14373","G2/M","G1"
"14374","S/G2","M"
"14375","S","G1"
"14376","G2/M","M"
"14377","S","S"
"14378","G2/M","G1"
"14379","S/G2","G2M"
"14380","Neural G0","G1"
"14381","M/Early G1","G1"
"14382","Late G1","G1"
"14383","G2/M","M"
"14384","S/G2","G1"
"14385","G2/M","M"
"14386","Neural G0","G1"
"14387","G2/M","M"
"14388","G2/M","M"
"14389","Neural G0","G1"
"14390","Neural G0","G1"
"14391","S/G2","M"
"14392","G2/M","G2M"
"14393","G1","G1"
"14394","Neural G0","G1"
"14395","G1","G1"
"14396","Neural G0","G1"
"14397","G1","M"
"14398","S/G2","G1"
"14399","M/Early G1","G1"
"14400","S","G1S"
"14401","S/G2","S"
"14402","G1","G1"
"14403","Late G1","G1"
"14404","Neural G0","G1"
"14405","Neural G0","G1"
"14406","Neural G0","G1"
"14407","M/Early G1","G1"
"14408","Late G1","G1"
"14409","Neural G0","G1"
"14410","G1","G1"
"14411","M/Early G1","G1"
"14412","G1","G1"
"14413","M/Early G1","G1"
"14414","Neural G0","G1"
"14415","G1","G1"
"14416","Late G1","G1"
"14417","Late G1","G1"
"14418","G1","G1"
"14419","G1","G1"
"14420","S","G2"
"14421","Neural G0","G1"
"14422","G1","G1"
"14423","Neural G0","G1"
"14424","S","G1"
"14425","Late G1","G1"
"14426","S/G2","M"
"14427","G2/M","G1"
"14428","G1","G1"
"14429","G1","M"
"14430","Neural G0","G1"
"14431","Neural G0","G1"
"14432","S","G1"
"14433","G1","G1"
"14434","G1","G1"
"14435","G1","G1"
"14436","M/Early G1","G1"
"14437","Neural G0","G1"
"14438","G1","G1"
"14439","S/G2","M"
"14440","G1","G1"
"14441","Neural G0","G1"
"14442","Late G1","G1"
"14443","G1","G1"
"14444","Neural G0","G1"
"14445","G1","G1"
"14446","G2/M","G2M"
"14447","S/G2","G1"
"14448","S","G1"
"14449","Neural G0","G1"
"14450","G2/M","M"
"14451","G2/M","M"
"14452","Neural G0","G1"
"14453","Neural G0","G1"
"14454","S","G1"
"14455","G1","G1"
"14456","M/Early G1","G1"
"14457","G1","G1"
"14458","Neural G0","G1"
"14459","M/Early G1","G1"
"14460","Neural G0","G1"
"14461","S","G1S"
"14462","G1","G1"
"14463","G2/M","M"
"14464","G2/M","G2"
"14465","Late G1","S"
"14466","G1","G1"
"14467","S","G1"
"14468","G1","G1"
"14469","Neural G0","G1"
"14470","G1","G1"
"14471","G1","G1"
"14472","Neural G0","G1"
"14473","G1","G1"
"14474","G1","G1"
"14475","S","G1"
"14476","G2/M","M"
"14477","G1","G1"
"14478","G1","G1"
"14479","M/Early G1","M"
"14480","G1","G1"
"14481","G1","G1"
"14482","G2/M","M"
"14483","S/G2","G1"
"14484","G1","G1"
"14485","S/G2","G1"
"14486","G1","S"
"14487","Neural G0","G1"
"14488","S/G2","G1"
"14489","Neural G0","G1"
"14490","G2/M","M"
"14491","Neural G0","G1"
"14492","M/Early G1","G1"
"14493","S/G2","M"
"14494","G1","G1"
"14495","Neural G0","G1"
"14496","S/G2","G1"
"14497","G1","G1"
"14498","G1","G1"
"14499","M/Early G1","G1"
"14500","S","G1"
"14501","G1","G1"
"14502","G1","G1"
"14503","G1","G1"
"14504","G1","G1"
"14505","S/G2","G1"
"14506","S/G2","G1"
"14507","G1","G1"
"14508","M/Early G1","G1"
"14509","G1","G1"
"14510","G1","G1"
"14511","S/G2","G2"
"14512","G1","G1"
"14513","G1","G1"
"14514","G1","G1"
"14515","M/Early G1","G1"
"14516","G2/M","G2M"
"14517","S","G1S"
"14518","Neural G0","G1"
"14519","G2/M","M"
"14520","Neural G0","G1"
"14521","G2/M","M"
"14522","G1","G1"
"14523","Neural G0","G1"
"14524","S","G1"
"14525","Neural G0","G1"
"14526","G1","G1"
"14527","G2/M","M"
"14528","S/G2","G2"
"14529","Late G1","G1"
"14530","M/Early G1","G1"
"14531","G2/M","M"
"14532","G2/M","M"
"14533","G1","G1"
"14534","G1","G1"
"14535","G1","G1"
"14536","M/Early G1","G1"
"14537","G2/M","M"
"14538","Late G1","G1"
"14539","G2/M","M"
"14540","Late G1","G2M"
"14541","M/Early G1","G1"
"14542","Neural G0","G1"
"14543","G1","G1"
"14544","Neural G0","G1"
"14545","G1","G1"
"14546","G1","G1"
"14547","Neural G0","G1"
"14548","Neural G0","G1"
"14549","G1","G1"
"14550","S/G2","G2M"
"14551","S","G1"
"14552","G1","G1"
"14553","Neural G0","G1"
"14554","G1","G1"
"14555","Neural G0","G1"
"14556","Late G1","G1"
"14557","G1","G1"
"14558","G1","G1"
"14559","Neural G0","G1"
"14560","S/G2","M"
"14561","Neural G0","G1"
"14562","Neural G0","G1"
"14563","G1","G1"
"14564","G1","G1"
"14565","G1","G1"
"14566","S","G1"
"14567","G1","G1"
"14568","G2/M","M"
"14569","G1","G1"
"14570","G1","G1"
"14571","G1","G1"
"14572","G1","G1"
"14573","G1","G1"
"14574","S/G2","M"
"14575","G1","G1"
"14576","G2/M","G1"
"14577","Neural G0","G1"
"14578","G1","G1"
"14579","G1","G1"
"14580","G1","G1"
"14581","G1","G1"
"14582","S","G1S"
"14583","S","G1S"
"14584","G1","G1"
"14585","G1","G1"
"14586","G1","G1"
"14587","G1","G1"
"14588","G1","G1"
"14589","G2/M","M"
"14590","S","G1"
"14591","Neural G0","G1"
"14592","G1","G1"
"14593","Neural G0","G1"
"14594","G1","G1"
"14595","S","G1"
"14596","S/G2","M"
"14597","G1","G1"
"14598","Neural G0","G1"
"14599","S","G1"
"14600","G1","G1"
"14601","G1","G2M"
"14602","Neural G0","G1"
"14603","G1","G1"
"14604","G1","G1"
"14605","S/G2","G2"
"14606","G1","G1"
"14607","G1","G1"
"14608","G1","G1"
"14609","S","G1"
"14610","G1","G1"
"14611","Late G1","G1"
"14612","G2/M","M"
"14613","G1","G1"
"14614","G1","G1"
"14615","M/Early G1","G1"
"14616","M/Early G1","G1"
"14617","Neural G0","G1"
"14618","G1","G1"
"14619","S","G1S"
"14620","G1","G1"
"14621","Neural G0","G1"
"14622","S","G1"
"14623","G1","G1"
"14624","G1","G1"
"14625","M/Early G1","G1"
"14626","S/G2","M"
"14627","G1","G1"
"14628","G1","G1"
"14629","S","G1"
"14630","G2/M","M"
"14631","G1","G1"
"14632","G1","G1"
"14633","G1","G1"
"14634","Neural G0","S"
"14635","Neural G0","G1"
"14636","S/G2","G1"
"14637","S/G2","G1"
"14638","G1","G1"
"14639","S","G1"
"14640","Late G1","G1"
"14641","Late G1","G1"
"14642","M/Early G1","G1"
"14643","S/G2","G1S"
"14644","Neural G0","G1"
"14645","G1","G1"
"14646","G1","G1"
"14647","M/Early G1","G1"
"14648","G1","G1"
"14649","G1","G1"
"14650","M/Early G1","G1"
"14651","G1","G1"
"14652","G1","G1"
"14653","G1","G1"
"14654","S/G2","G1"
"14655","G1","G1"
"14656","G1","G1"
"14657","G1","G1"
"14658","Late G1","G1"
"14659","G2/M","M"
"14660","G1","G1"
"14661","G1","G1"
"14662","Neural G0","G1"
"14663","Neural G0","G1"
"14664","G1","G1"
"14665","G1","G1"
"14666","Neural G0","G1"
"14667","Late G1","G1"
"14668","G1","G1"
"14669","G2/M","M"
"14670","M/Early G1","G1"
"14671","G1","G1"
"14672","G1","G1"
"14673","S","G1"
"14674","M/Early G1","G1"
"14675","Neural G0","G1"
"14676","G1","G1"
"14677","G1","G1"
"14678","S","G1"
"14679","G1","G1"
"14680","G1","G1"
"14681","G1","G1"
"14682","M/Early G1","M"
"14683","Neural G0","M"
"14684","G1","G1"
"14685","S","G1"
"14686","G1","G1"
"14687","S/G2","G2M"
"14688","Neural G0","G1"
"14689","Neural G0","G1"
"14690","Late G1","G1"
"14691","G1","G1"
"14692","G1","G1"
"14693","G1","G1"
"14694","G1","G1"
"14695","S/G2","M"
"14696","Late G1","G1"
"14697","Neural G0","G1"
"14698","S/G2","G1"
"14699","Neural G0","G1"
"14700","G1","G1"
"14701","Neural G0","G1"
"14702","M/Early G1","G1"
"14703","G2/M","M"
"14704","M/Early G1","G1"
"14705","G1","G1"
"14706","G1","G1"
"14707","S","G1S"
"14708","G2/M","G2M"
"14709","G1","G1"
"14710","Neural G0","G1"
"14711","G1","G1"
"14712","G2/M","M"
"14713","G2/M","M"
"14714","M/Early G1","G1"
"14715","S/G2","G2M"
"14716","S","G1S"
"14717","G1","G2"
"14718","G1","G1"
"14719","Neural G0","G2M"
"14720","G1","G1"
"14721","G1","G1"
"14722","G1","G1"
"14723","Late G1","G1"
"14724","Neural G0","G1"
"14725","G1","G2M"
"14726","S/G2","M"
"14727","Late G1","G1"
"14728","S/G2","G1"
"14729","S","S"
"14730","Neural G0","G1"
"14731","M/Early G1","G1"
"14732","Neural G0","G1"
"14733","Late G1","G1"
"14734","G1","G1"
"14735","G2/M","G2M"
"14736","G1","G1"
"14737","M/Early G1","G1"
"14738","M/Early G1","G1"
"14739","S/G2","G2"
"14740","S","G1"
"14741","M/Early G1","G1"
"14742","G1","G1"
"14743","S/G2","G2M"
"14744","M/Early G1","G1"
"14745","S","M"
"14746","S","S"
"14747","S/G2","G1"
"14748","Neural G0","G1"
"14749","S/G2","G1"
"14750","S/G2","G2M"
"14751","M/Early G1","G1"
"14752","G1","G1"
"14753","S","G1"
"14754","M/Early G1","M"
"14755","G1","G1"
"14756","G1","G1"
"14757","G1","G1"
"14758","S/G2","M"
"14759","Neural G0","G1"
"14760","G1","G1"
"14761","M/Early G1","G1"
"14762","G1","G1"
"14763","G1","G1"
"14764","G1","G1"
"14765","Late G1","G1"
"14766","G1","G1"
"14767","Neural G0","G1"
"14768","M/Early G1","M"
"14769","Neural G0","G1"
"14770","G2/M","G2M"
"14771","G2/M","M"
"14772","G1","G1"
"14773","G1","G1"
"14774","G1","G1"
"14775","G2/M","M"
"14776","Late G1","G1"
"14777","G1","G1"
"14778","G2/M","M"
"14779","G1","G1"
"14780","Late G1","G1"
"14781","G2/M","M"
"14782","S","G1"
"14783","S/G2","M"
"14784","G1","G1"
"14785","G2/M","G2M"
"14786","Neural G0","G1"
"14787","G1","M"
"14788","Neural G0","G1"
"14789","Neural G0","G1"
"14790","S/G2","M"
"14791","S","G1"
"14792","G1","G1"
"14793","G1","G1"
"14794","Late G1","G1"
"14795","G1","G1"
"14796","G1","G1"
"14797","G2/M","M"
"14798","G2/M","G1"
"14799","M/Early G1","G1"
"14800","Neural G0","G1"
"14801","G1","G1"
"14802","M/Early G1","G1"
"14803","G2/M","M"
"14804","Neural G0","G1"
"14805","M/Early G1","G1"
"14806","Late G1","G1"
"14807","S","G1"
"14808","G1","G1"
"14809","G1","G1"
"14810","G1","G1"
"14811","S/G2","G1"
"14812","Neural G0","M"
"14813","S/G2","G2"
"14814","G1","G1"
"14815","G2/M","M"
"14816","Neural G0","G1"
"14817","G1","G1"
"14818","S/G2","G2M"
"14819","Late G1","G1"
"14820","Neural G0","G1"
"14821","Neural G0","G1"
"14822","Neural G0","G1"
"14823","S/G2","G1S"
"14824","G2/M","M"
"14825","Neural G0","G1"
"14826","G1","S"
"14827","S","G1"
"14828","S/G2","M"
"14829","G2/M","M"
"14830","M/Early G1","G1"
"14831","G1","G1"
"14832","G2/M","M"
"14833","G1","G1"
"14834","G2/M","G1"
"14835","Neural G0","G1"
"14836","Neural G0","G1"
"14837","G1","G1"
"14838","G1","G1"
"14839","G1","G1"
"14840","G2/M","M"
"14841","S/G2","S"
"14842","M/Early G1","M"
"14843","Neural G0","G1"
"14844","Neural G0","G1"
"14845","Neural G0","G1"
"14846","Late G1","G1"
"14847","Neural G0","G1"
"14848","G2/M","M"
"14849","Neural G0","G1"
"14850","G1","G1"
"14851","G1","G1"
"14852","G1","G1"
"14853","M/Early G1","G1"
"14854","Neural G0","G1"
"14855","G1","G1"
"14856","G1","G1"
"14857","M/Early G1","M"
"14858","M/Early G1","G1"
"14859","S/G2","G1"
"14860","G1","G1"
"14861","Neural G0","G1"
"14862","G1","G1"
"14863","Late G1","G1"
"14864","G1","G1"
"14865","G2/M","M"
"14866","Neural G0","G1"
"14867","Neural G0","G1"
"14868","G1","G1"
"14869","M/Early G1","G2M"
"14870","G1","G1"
"14871","Late G1","G1"
"14872","G1","G1"
"14873","G1","G1"
"14874","M/Early G1","G1"
"14875","G2/M","M"
"14876","Neural G0","G1"
"14877","G1","G1"
"14878","Late G1","G1"
"14879","G2/M","M"
"14880","G1","G1"
"14881","Neural G0","G1"
"14882","S","G1S"
"14883","Neural G0","G1"
"14884","G1","G1"
"14885","Neural G0","G1"
"14886","G1","G1"
"14887","G1","G1"
"14888","Neural G0","G1"
"14889","Neural G0","G1"
"14890","G1","G1"
"14891","M/Early G1","G1"
"14892","M/Early G1","G1"
"14893","S/G2","M"
"14894","S","G1S"
"14895","M/Early G1","G1"
"14896","G2/M","M"
"14897","S","G1"
"14898","G1","G1"
"14899","S/G2","M"
"14900","S/G2","M"
"14901","S/G2","G1"
"14902","M/Early G1","G1"
"14903","G1","G1"
"14904","G2/M","M"
"14905","G1","G1"
"14906","M/Early G1","G1"
"14907","Neural G0","G1"
"14908","G1","G1"
"14909","G1","G1"
"14910","Neural G0","G1"
"14911","G1","G1"
"14912","S/G2","M"
"14913","S/G2","G1"
"14914","G1","G1"
"14915","Neural G0","G1"
"14916","S/G2","G2M"
"14917","G1","G1"
"14918","S/G2","G1"
"14919","G1","G1"
"14920","G1","G1"
"14921","Late G1","G1"
"14922","Late G1","G1"
"14923","G1","G1"
"14924","S","G1S"
"14925","Late G1","G1"
"14926","G1","G1"
"14927","G1","G1"
"14928","Neural G0","G1"
"14929","M/Early G1","M"
"14930","G2/M","M"
"14931","Late G1","G1"
"14932","G1","G1"
"14933","M/Early G1","G1"
"14934","G1","G1"
"14935","S/G2","G1"
"14936","Late G1","G1"
"14937","S","G1"
"14938","S","G1S"
"14939","G1","G1"
"14940","S","G1S"
"14941","G1","G1"
"14942","Late G1","G1"
"14943","Late G1","G1"
"14944","G1","G1"
"14945","Late G1","S"
"14946","G1","G1"
"14947","G1","G1"
"14948","M/Early G1","M"
"14949","G1","M"
"14950","S","G1"
"14951","Neural G0","G1"
"14952","S/G2","S"
"14953","Neural G0","G1"
"14954","G2/M","M"
"14955","G1","G1S"
"14956","G1","G1"
"14957","G2/M","G1"
"14958","Neural G0","G1"
"14959","S","G1"
"14960","G1","G1"
"14961","Late G1","G1"
"14962","Neural G0","G1"
"14963","G1","G1"
"14964","G2/M","M"
"14965","G1","G1"
"14966","G1","G1"
"14967","Neural G0","G1"
"14968","G1","G1"
"14969","G1","G1"
"14970","S/G2","S"
"14971","G2/M","M"
"14972","Late G1","G1"
"14973","Late G1","G1"
"14974","S","G2"
"14975","G1","G1"
"14976","S/G2","G1"
"14977","S","G1"
"14978","G1","G1"
"14979","S/G2","G1S"
"14980","G1","G1"
"14981","S","G1"
"14982","G2/M","M"
"14983","G2/M","M"
"14984","Neural G0","G1"
"14985","G2/M","G2M"
"14986","Neural G0","G1"
"14987","G1","G1"
"14988","S/G2","G1"
"14989","G2/M","M"
"14990","S/G2","G2M"
"14991","M/Early G1","G1"
"14992","S","G1"
"14993","Neural G0","G1"
"14994","Late G1","G1"
"14995","S/G2","G2M"
"14996","G2/M","G2M"
"14997","G1","G1"
"14998","G1","G1"
"14999","G1","G1"
"15000","M/Early G1","G1"
"15001","G1","G1"
"15002","G2/M","M"
"15003","G1","G1"
"15004","G1","G1"
"15005","G1","G1"
"15006","M/Early G1","G1"
"15007","G1","G1"
"15008","G1","G1"
"15009","Neural G0","G2"
"15010","Late G1","G1"
"15011","G1","G1"
"15012","G2/M","M"
"15013","G1","G1"
"15014","S","G2"
"15015","G1","G1"
"15016","Neural G0","G1"
"15017","Late G1","G1"
"15018","G1","G1"
"15019","M/Early G1","G1"
"15020","G1","G1"
"15021","G1","G1"
"15022","Neural G0","G1"
"15023","S/G2","G1S"
"15024","G1","G1"
"15025","G2/M","M"
"15026","S/G2","G1"
"15027","Neural G0","G1"
"15028","Neural G0","G1"
"15029","M/Early G1","M"
"15030","G1","G1"
"15031","S/G2","M"
"15032","S/G2","G2M"
"15033","M/Early G1","G1"
"15034","G1","G1"
"15035","G1","G1"
"15036","G1","G1"
"15037","Neural G0","G1"
"15038","Late G1","G1"
"15039","G2/M","M"
"15040","Neural G0","G1"
"15041","Neural G0","G1"
"15042","G1","G1"
"15043","Neural G0","G1"
"15044","S/G2","G2M"
"15045","M/Early G1","G1"
"15046","G1","G1"
"15047","G1","G1"
"15048","S","G1"
"15049","G1","G1"
"15050","S/G2","M"
"15051","Neural G0","G1"
"15052","G1","G1"
"15053","Neural G0","G1"
"15054","Neural G0","G1"
"15055","G1","S"
"15056","G1","G1"
"15057","G1","G1"
"15058","Neural G0","G1"
"15059","S/G2","G2M"
"15060","G2/M","M"
"15061","M/Early G1","G1"
"15062","G1","G1"
"15063","G1","G1"
"15064","G1","G2M"
"15065","M/Early G1","G1"
"15066","S/G2","M"
"15067","G1","G2M"
"15068","Late G1","G2"
"15069","G1","G1"
"15070","Neural G0","G1"
"15071","M/Early G1","G1"
"15072","G2/M","M"
"15073","S","G1"
"15074","S/G2","G1"
"15075","G1","G1"
"15076","G1","G1"
"15077","G1","G1"
"15078","G2/M","M"
"15079","Neural G0","G1"
"15080","M/Early G1","G1"
"15081","G1","G1"
"15082","G1","G1"
"15083","S/G2","M"
"15084","G1","G1"
"15085","S/G2","M"
"15086","M/Early G1","G1"
"15087","G2/M","M"
"15088","G1","G1"
"15089","S/G2","G1S"
"15090","M/Early G1","G1"
"15091","G1","G1"
"15092","Neural G0","G1"
"15093","Neural G0","G1"
"15094","G1","G1"
"15095","G1","M"
"15096","M/Early G1","G1"
"15097","Neural G0","G1"
"15098","G1","G1"
"15099","S/G2","M"
"15100","G1","G1"
"15101","G1","G1"
"15102","G1","G1"
"15103","G1","G1"
"15104","G2/M","M"
"15105","S","G1"
"15106","Neural G0","G1"
"15107","M/Early G1","M"
"15108","G1","G1"
"15109","Neural G0","G1"
"15110","Late G1","G1"
"15111","Neural G0","G1"
"15112","G2/M","G1"
"15113","G1","G1"
"15114","Neural G0","G1"
"15115","G1","G1"
"15116","M/Early G1","M"
"15117","Neural G0","G1"
"15118","S/G2","G1"
"15119","G1","G2M"
"15120","M/Early G1","G1"
"15121","M/Early G1","G1"
"15122","Late G1","G1"
"15123","Neural G0","G1"
"15124","G2/M","M"
"15125","G1","G1"
"15126","G1","G1"
"15127","S/G2","M"
"15128","G2/M","M"
"15129","G2/M","M"
"15130","G2/M","M"
"15131","G1","M"
"15132","S/G2","S"
"15133","G1","G1"
"15134","Neural G0","G1"
"15135","G1","G1"
"15136","G1","G1"
"15137","M/Early G1","G1"
"15138","M/Early G1","G1"
"15139","G1","G1"
"15140","Neural G0","G1"
"15141","G1","G1"
"15142","S","G1"
"15143","G1","G1"
"15144","G1","G1"
"15145","S","G1"
"15146","G1","G1"
"15147","G1","G1"
"15148","Neural G0","G1"
"15149","M/Early G1","G1"
"15150","Late G1","G2M"
"15151","Late G1","G1"
"15152","S","G1"
"15153","S","G1S"
"15154","S","G1S"
"15155","Neural G0","G1"
"15156","S/G2","G1"
"15157","G1","G1"
"15158","S/G2","G2M"
"15159","S/G2","G2"
"15160","G2/M","M"
"15161","Neural G0","G1"
"15162","G1","G1"
"15163","G1","G1"
"15164","Neural G0","G1"
"15165","Neural G0","G1"
"15166","S","G1"
"15167","S/G2","G2"
"15168","G1","G1"
"15169","Neural G0","G1"
"15170","G1","G2M"
"15171","Neural G0","G1"
"15172","S/G2","G1"
"15173","G1","G1"
"15174","S/G2","M"
"15175","G1","G1"
"15176","G2/M","M"
"15177","G2/M","M"
"15178","Late G1","G1"
"15179","G1","G1"
"15180","G1","G1"
"15181","G1","G1"
"15182","S/G2","G1"
"15183","S/G2","G1"
"15184","Neural G0","G1"
"15185","M/Early G1","M"
"15186","G2/M","M"
"15187","S/G2","S"
"15188","G2/M","M"
"15189","G1","G1"
"15190","M/Early G1","G1"
"15191","G1","G1"
"15192","Late G1","G1"
"15193","Neural G0","G1"
"15194","G1","G1"
"15195","Neural G0","G1"
"15196","Late G1","G1"
"15197","Neural G0","G1"
"15198","S/G2","M"
"15199","G1","G1"
"15200","S","G1"
"15201","G1","G1S"
"15202","G1","G1"
"15203","Neural G0","G1"
"15204","G1","G1"
"15205","G1","G1"
"15206","S/G2","G2M"
"15207","G1","G1"
"15208","G1","G1"
"15209","Neural G0","G1"
"15210","G1","G1"
"15211","S","G1"
"15212","G1","G1"
"15213","G1","G1S"
"15214","M/Early G1","G1"
