"","Phase","recat"
"5843","G1","G1"
"5844","G1","G1"
"5845","G1","G1"
"5846","G1","G1"
"5847","S","G1"
"5848","S","G1"
"5849","S","G1S"
"5850","G1","G1"
"5851","S","G1"
"5852","G2M","M"
"5853","G1","G1"
"5854","G1","G1"
"5855","G1","G1"
"5856","G1","G1"
"5857","G1","G1"
"5858","G1","G1"
"5859","G1","G1"
"5860","G1","G1"
"5861","G1","G1"
"5862","G1","G1"
"5863","G1","G1"
"5864","G1","G1"
"5865","S","S"
"5866","G1","G1"
"5867","G2M","M"
"5868","G1","G1"
"5869","G1","G1"
"5870","G1","G1"
"5871","G1","G1"
"5872","G1","G1"
"5873","S","G1"
"5874","G1","G1"
"5875","G1","G1"
"5876","S","G1"
"5877","G1","G1"
"5878","G2M","G1"
"5879","G1","G1"
"5880","S","G1"
"5881","G1","G1"
"5882","S","G1"
"5883","G1","G1"
"5884","G1","G1"
"5885","G1","G1"
"5886","G2M","G2"
"5887","S","G1"
"5888","S","S"
"5889","G1","G1"
"5890","G2M","M"
"5891","G2M","M"
"5892","G1","G1"
"5893","S","G1"
"5894","S","G1"
"5895","S","G1"
"5896","S","G1"
"5897","G1","G1"
"5898","G2M","M"
"5899","G1","M"
"5900","G1","G1"
"5901","G1","G1"
"5902","G1","G1"
"5903","G1","G1"
"5904","S","G1"
"5905","G1","G1"
"5906","G1","G1"
"5907","G1","G1"
"5908","G2M","G2"
"5909","G1","G1"
"5910","G2M","M"
"5911","G1","G1"
"5912","G2M","G2M"
"5913","G2M","G2"
"5914","G1","G1"
"5915","G1","G1"
"5916","G2M","G1"
"5917","G1","G1"
"5918","G1","G1"
"5919","S","G1"
"5920","G1","G1"
"5921","S","G2"
"5922","G1","G1"
"5923","S","G1"
"5924","G1","G1"
"5925","G1","G1"
"5926","G2M","M"
"5927","G2M","M"
"5928","G1","G1"
"5929","G2M","M"
"5930","G2M","M"
"5931","G2M","M"
"5932","G2M","M"
"5933","G1","G1"
"5934","G1","G1"
"5935","G2M","G1"
"5936","G1","G1"
"5937","G1","G1"
"5938","G1","G1"
"5939","G1","G1"
"5940","G1","G1"
"5941","G2M","M"
"5942","G1","G1"
"5943","S","G1S"
"5944","G1","G1"
"5945","G2M","G1"
"5946","S","G1S"
"5947","G1","G1"
"5948","G1","G1"
"5949","G1","G1"
"5950","G1","G1"
"5951","S","G1"
"5952","S","G2"
"5953","G2M","G2"
"5954","G1","G1"
"5955","G1","G1"
"5956","G2M","G2M"
"5957","G1","G1"
"5958","G2M","M"
"5959","G1","G1"
"5960","G1","G1"
"5961","G1","G1"
"5962","G1","G1"
"5963","G1","G1"
"5964","G1","G1"
"5965","G2M","M"
"5966","G1","G1"
"5967","G1","G1"
"5968","G1","G1"
"5969","G1","G1"
"5970","G1","G1"
"5971","G1","G1"
"5972","G1","S"
"5973","G1","G1"
"5974","G1","G1"
"5975","G2M","M"
"5976","G1","G1"
"5977","G2M","M"
"5978","G1","G1"
"5979","G2M","M"
"5980","G2M","M"
"5981","G1","G1"
"5982","G1","G1"
"5983","G1","G1"
"5984","G1","G1"
"5985","S","G1"
"5986","G1","G1"
"5987","G1","G1"
"5988","S","G1S"
"5989","G2M","M"
"5990","S","G1S"
"5991","G2M","M"
"5992","S","G1"
"5993","G1","G1"
"5994","S","G1S"
"5995","S","G1"
"5996","G2M","M"
"5997","S","G1"
"5998","G1","G1"
"5999","G1","G1"
"6000","G2M","G2"
"6001","G1","G1"
"6002","G2M","M"
"6003","S","S"
"6004","G1","G1"
"6005","G1","G1"
"6006","G1","G1"
"6007","G1","G1"
"6008","G2M","G1"
"6009","G1","G1"
"6010","S","G1"
"6011","G2M","M"
"6012","S","G1"
"6013","G2M","M"
"6014","G1","G1"
"6015","G1","G1"
"6016","S","G1"
"6017","S","G1S"
"6018","G1","G1"
"6019","G2M","M"
"6020","G1","G1"
"6021","S","G1"
"6022","G2M","M"
"6023","G2M","G2M"
"6024","G2M","M"
"6025","G1","G1"
"6026","G1","G1"
"6027","G1","G1"
"6028","G2M","G1"
"6029","G1","G1"
"6030","S","G1"
"6031","G1","G1"
"6032","S","G1S"
"6033","S","S"
"6034","G2M","M"
"6035","G2M","M"
"6036","S","S"
"6037","G1","G1"
"6038","S","G1"
"6039","G1","G1"
"6040","G1","G1"
"6041","G1","G1"
"6042","G1","G1"
"6043","G1","G1"
"6044","G1","G1"
"6045","G1","G1"
"6046","G1","G1"
"6047","G2M","M"
"6048","S","G1"
"6049","G1","G1"
"6050","G1","G1"
"6051","G2M","G2"
"6052","G1","G1"
"6053","G1","G1"
"6054","G1","G1"
"6055","G2M","M"
"6056","G1","G1"
"6057","G1","G1"
"6058","G1","G1"
"6059","G2M","G1"
"6060","G2M","M"
"6061","S","G1"
"6062","G2M","M"
"6063","G1","G1"
"6064","G2M","G1"
"6065","S","G1"
"6066","G1","G1"
"6067","G1","G1"
"6068","G1","G1"
"6069","G1","G1"
"6070","S","G1"
"6071","G1","G1"
"6072","G1","G1"
"6073","G2M","M"
"6074","G1","G1"
"6075","G1","G1"
"6076","G2M","G2M"
"6077","G2M","G2M"
"6078","G2M","M"
"6079","G2M","G1"
"6080","G2M","M"
"6081","G1","M"
"6082","G1","G1"
"6083","G1","G1"
"6084","S","G1"
"6085","S","G1"
"6086","G2M","M"
"6087","S","G1"
"6088","S","G2M"
"6089","G1","G1"
"6090","S","G1S"
"6091","G1","G1"
"6092","G2M","M"
"6093","G2M","M"
"6094","G1","G1"
"6095","G2M","M"
"6096","G1","G1"
"6097","G1","G1"
"6098","G2M","G1"
"6099","G1","G1"
"6100","G2M","G1"
"6101","S","G1"
"6102","G2M","M"
"6103","G1","G1"
"6104","G2M","G2"
"6105","G1","G1"
"6106","S","G1"
"6107","S","G1"
"6108","G2M","M"
"6109","G1","G1"
"6110","G2M","G2M"
"6111","G2M","S"
"6112","G2M","G1"
"6113","G1","G1"
"6114","S","G1"
"6115","G1","G1"
"6116","G2M","G2"
"6117","G1","G1"
"6118","G2M","G2M"
"6119","G1","G1"
"6120","S","G1"
"6121","S","G1"
"6122","G1","G1"
"6123","G1","G1"
"6124","S","G1"
"6125","G1","G1"
"6126","G1","G1"
"6127","G1","G1"
"6128","G1","G1"
"6129","G2M","G1"
"6130","G2M","M"
"6131","G1","G1"
"6132","S","G1S"
"6133","G1","G1"
"6134","G1","M"
"6135","G2M","G1"
"6136","S","G1"
"6137","G1","G1"
"6138","G1","G1"
"6139","S","G1"
"6140","G1","G1"
"6141","S","G1"
"6142","G1","G1"
"6143","G1","G1"
"6144","S","G1"
"6145","G2M","G1"
"6146","G2M","M"
"6147","G1","G1"
"6148","G1","G1"
"6149","G2M","M"
"6150","G1","G1"
"6151","G1","G1"
"6152","S","G1"
"6153","S","G1"
"6154","G1","G1"
"6155","G1","G1"
"6156","G2M","G1"
"6157","G1","G1"
"6158","G2M","G1"
"6159","G1","G1"
"6160","G1","G1"
"6161","G1","G1"
"6162","G1","G1"
"6163","G2M","M"
"6164","G2M","M"
"6165","G1","G1"
"6166","G1","G1"
"6167","G1","G1"
"6168","G2M","M"
"6169","G2M","M"
"6170","S","G1"
"6171","G1","G1"
"6172","S","G1"
"6173","G1","G1"
"6174","S","G2M"
"6175","G1","G1"
"6176","S","G1"
"6177","G1","G1"
"6178","G1","G1"
"6179","G2M","G1"
"6180","G1","G1"
"6181","G1","G1"
"6182","G1","G1"
"6183","G1","G1"
"6184","G1","G1"
"6185","G1","G1"
"6186","G1","G1"
"6187","G1","G1"
"6188","G1","G1"
"6189","G1","G1"
"6190","G1","G1"
"6191","S","G1"
"6192","G1","G1"
"6193","G1","G1"
"6194","G1","G1"
"6195","G2M","M"
"6196","G2M","M"
"6197","G2M","M"
"6198","G1","G1"
"6199","G2M","M"
"6200","S","G1"
"6201","S","G1"
"6202","G2M","G1"
"6203","S","G1"
"6204","G1","G1"
"6205","G1","G1"
"6206","G2M","M"
"6207","G2M","M"
"6208","G1","G1"
"6209","G2M","M"
"6210","G1","G1"
"6211","S","G1"
"6212","G1","G1"
"6213","S","G1"
"6214","G2M","M"
"6215","G1","G1"
"6216","G1","G1"
"6217","G2M","M"
"6218","G1","G1"
"6219","G1","G1"
"6220","G1","G1"
"6221","G1","G1"
"6222","G1","G1"
"6223","G2M","M"
"6224","G2M","G1"
"6225","G1","G1"
"6226","G1","G1"
"6227","G1","G1"
"6228","G1","G1"
"6229","G1","G1"
"6230","G1","G1"
"6231","G1","G1"
"6232","S","G1"
"6233","G1","G1"
"6234","G1","G1"
"6235","S","S"
"6236","G1","G1"
"6237","G1","G1"
"6238","G1","G1"
"6239","S","G1"
"6240","G2M","M"
"6241","S","G1"
"6242","G2M","G1"
"6243","S","G1"
"6244","G1","G1"
"6245","G2M","G1"
"6246","G1","G1"
"6247","S","G1"
"6248","G1","G1"
"6249","G1","G1"
"6250","S","G1"
"6251","S","G1"
"6252","S","G1"
"6253","G1","G1"
"6254","G2M","G2"
"6255","G1","G1"
"6256","S","G1"
"6257","G1","G1"
"6258","S","G1"
"6259","G2M","G2M"
"6260","S","G1"
"6261","G1","G1"
"6262","S","G1"
"6263","G1","G1"
"6264","G1","G1"
"6265","G1","G1"
"6266","G1","G1"
"6267","S","G1"
"6268","G1","G1"
"6269","S","G1"
"6270","S","G1S"
"6271","G1","G1"
"6272","G1","G1"
"6273","G2M","G2M"
"6274","S","G1"
"6275","G2M","M"
"6276","G1","G1"
"6277","S","G1S"
"6278","G1","G1"
"6279","G1","G1"
"6280","S","G1"
"6281","G1","G1"
"6282","G2M","G2M"
"6283","G1","G1"
"6284","G1","G1"
"6285","G1","G1"
"6286","G1","G1"
"6287","S","G1"
"6288","G1","G1"
"6289","S","S"
"6290","G1","G1"
"6291","S","G1"
"6292","S","G1"
"6293","G1","G1"
"6294","S","G1"
"6295","S","G1"
"6296","S","G1S"
"6297","G1","G1"
"6298","G1","G1"
"6299","G1","G1"
"6300","S","M"
"6301","G1","G1"
"6302","G1","G1"
"6303","G2M","G2M"
"6304","S","G1"
"6305","G1","G1"
"6306","G2M","M"
"6307","G1","G1"
"6308","S","G1"
"6309","G1","G1"
"6310","G2M","M"
"6311","G1","G1"
"6312","G1","G1"
"6313","S","G1S"
"6314","S","S"
"6315","S","M"
"6316","G1","G1"
"6317","G2M","G2"
"6318","S","G1S"
"6319","G1","G1"
"6320","S","G1"
"6321","S","G1"
"6322","G2M","M"
"6323","G1","G1"
"6324","S","G1"
"6325","G2M","M"
"6326","G1","G1"
"6327","G1","G1"
"6328","G1","G1"
"6329","S","S"
"6330","G1","G1"
"6331","G1","G1"
"6332","S","G1"
"6333","S","G1"
"6334","S","G1"
"6335","S","G1"
"6336","S","G1"
"6337","G2M","M"
"6338","G1","G1"
"6339","G2M","M"
"6340","G1","G1"
"6341","S","G1"
"6342","G1","G1"
"6343","G1","G1"
"6344","G1","G1"
"6345","G1","G1"
"6346","G1","G1"
"6347","G2M","M"
"6348","S","G1S"
"6349","G1","G1"
"6350","G1","G1"
"6351","G2M","M"
"6352","G1","G1"
"6353","G2M","G1"
"6354","S","G1"
"6355","S","G1"
"6356","S","G2"
"6357","G1","G1"
"6358","G1","G1"
"6359","G1","G1"
"6360","G1","G1"
"6361","G2M","M"
"6362","G1","G1"
"6363","G1","G1"
"6364","G1","G1"
"6365","G1","G1"
"6366","S","G1"
"6367","G1","G1"
"6368","S","G1"
"6369","G1","G1"
"6370","G1","G1"
"6371","G1","G1"
"6372","G1","G1"
"6373","S","S"
"6374","G1","G1"
"6375","G1","G1"
"6376","G1","G1"
"6377","G1","G1"
"6378","G1","G1"
"6379","G1","G1"
"6380","S","G1"
"6381","G1","G1"
"6382","G1","G1"
"6383","G1","G1"
"6384","G1","G1"
"6385","S","G1"
"6386","G1","G1"
"6387","S","S"
"6388","G1","G1"
"6389","G1","G1"
"6390","S","G1S"
"6391","G1","G1"
"6392","G1","G1"
"6393","G1","G1"
"6394","G1","G1"
"6395","G1","G1"
"6396","G1","G1"
"6397","S","G1"
"6398","G1","G1"
"6399","G2M","G1"
"6400","G1","G1"
"6401","G1","G1"
"6402","G1","G1"
"6403","G2M","G2M"
"6404","G1","G1"
"6405","G1","G1"
"6406","G1","G1"
"6407","G1","G1"
"6408","S","G1"
"6409","G1","G1"
"6410","G1","G1"
"6411","S","G1"
"6412","G1","G1"
"6413","S","G1"
"6414","G2M","M"
"6415","G1","G1"
"6416","G2M","G1"
"6417","S","G1S"
"6418","G1","G1"
"6419","G1","G1"
"6420","G1","G1"
"6421","G1","G1"
"6422","S","G1"
"6423","S","G1S"
"6424","G1","G1"
"6425","G2M","M"
"6426","G1","G1"
"6427","G1","G1"
"6428","G1","G1"
"6429","G2M","M"
"6430","G1","G1"
"6431","G2M","M"
"6432","G1","G1"
"6433","G1","G1"
"6434","G1","G1"
"6435","G1","G1"
"6436","S","G1"
"6437","G2M","G2M"
"6438","G2M","M"
"6439","G1","G1"
"6440","G2M","G1"
"6441","G1","G1"
"6442","G1","G1"
"6443","G1","G1"
"6444","G1","G1"
"6445","G1","G1"
"6446","G2M","M"
"6447","G2M","M"
"6448","G1","G1"
"6449","S","G1"
"6450","G1","G1"
"6451","G2M","M"
"6452","S","G1"
"6453","G1","G1"
"6454","G1","G1"
"6455","G1","G1"
"6456","G1","G1"
"6457","G1","G1"
"6458","G1","G1"
"6459","G2M","M"
"6460","G2M","G2"
"6461","G1","G1"
"6462","S","M"
"6463","G1","G1"
"6464","S","G1"
"6465","S","S"
"6466","G1","G1"
"6467","G1","G1"
"6468","G2M","G2M"
"6469","G1","G1"
"6470","S","G1"
"6471","G1","G1"
"6472","G1","G1"
"6473","G1","G1"
"6474","S","G1"
"6475","G1","G1"
"6476","G1","G1"
"6477","G1","G1"
"6478","G1","G1"
"6479","G1","G1"
"6480","S","G1"
"6481","S","G1S"
"6482","G1","G1"
"6483","G2M","M"
"6484","G2M","G1"
"6485","G2M","M"
"6486","G1","G1"
"6487","G1","G1"
"6488","G1","G1"
"6489","G2M","M"
"6490","S","G1"
"6491","G2M","G2M"
"6492","G1","G1"
"6493","S","G1"
"6494","S","G1"
"6495","S","G2M"
"6496","S","G1"
"6497","G1","G1"
"6498","G1","G1"
"6499","G2M","M"
"6500","G2M","M"
"6501","S","G1"
"6502","G1","G1"
"6503","G1","G1"
"6504","G1","G1"
"6505","G1","G1"
"6506","G1","G1"
"6507","G1","G1"
"6508","S","G1"
"6509","G1","G1"
"6510","G2M","M"
"6511","G2M","G2M"
"6512","G1","G1"
"6513","G1","G1"
"6514","G1","G1"
"6515","G1","G1"
"6516","G1","G1"
"6517","G1","G1"
"6518","G1","G1"
"6519","S","G1"
"6520","G1","G1"
"6521","S","G1"
"6522","G1","G1"
"6523","S","G1"
"6524","G1","G1"
"6525","G2M","M"
"6526","G2M","M"
"6527","G1","G1"
"6528","G2M","M"
"6529","G1","G1"
"6530","G2M","M"
"6531","G2M","M"
"6532","S","G1S"
"6533","G1","G1"
"6534","G2M","G2M"
"6535","G1","G1"
"6536","G1","G1"
"6537","G2M","M"
"6538","G1","G1"
"6539","G2M","M"
"6540","G1","G1"
"6541","S","G1"
"6542","S","G1"
"6543","G2M","G2M"
"6544","S","G1"
"6545","G1","G1"
"6546","G1","G1"
"6547","G1","G1"
"6548","G1","G1"
"6549","G1","G1"
"6550","G1","G1"
"6551","G1","G1"
"6552","S","G1"
"6553","G1","G1"
"6554","G1","G1"
"6555","G2M","G1"
"6556","G1","G1"
"6557","G1","G1"
"6558","G1","G1"
"6559","G1","G1"
"6560","G2M","M"
"6561","G1","G1"
"6562","G1","G1"
"6563","G1","G1"
"6564","G2M","M"
"6565","G1","G1"
"6566","G1","G1"
"6567","G1","G1"
"6568","G1","G1"
"6569","G1","G1"
"6570","G1","G1"
"6571","S","G1S"
"6572","S","G1"
"6573","G1","G1"
"6574","S","G1"
"6575","S","G1"
"6576","G1","G1"
"6577","G1","G1"
"6578","G1","G1"
"6579","S","G1S"
"6580","S","G1"
"6581","G1","G1"
"6582","S","G1"
"6583","G2M","M"
"6584","G1","G1"
"6585","S","G1"
"6586","G1","S"
"6587","G1","G1"
"6588","G1","G1"
"6589","G1","G1"
"6590","G2M","S"
"6591","G1","G1"
"6592","G1","G1"
"6593","G1","G1"
"6594","G1","G1"
"6595","G1","G1"
"6596","S","G1"
"6597","G1","G1"
"6598","G2M","M"
"6599","G1","G1"
"6600","G1","G1"
"6601","G1","G1"
"6602","G1","G1"
"6603","G1","G1"
"6604","G1","G1"
"6605","G1","G1"
"6606","S","G1"
"6607","G1","G1"
"6608","G2M","M"
"6609","S","G1"
"6610","G2M","G1"
"6611","G1","G1"
"6612","G1","G1"
"6613","G2M","M"
"6614","G1","G1"
"6615","G1","G1"
"6616","G1","G1"
"6617","G1","G1"
"6618","S","G1"
"6619","G2M","M"
"6620","S","G1"
"6621","G2M","M"
"6622","G1","G1"
"6623","G1","G1"
"6624","G2M","G2M"
"6625","G1","G1"
"6626","G1","G1"
"6627","S","G1"
"6628","G2M","M"
"6629","S","G1"
"6630","G2M","G2M"
"6631","G1","G1"
"6632","G1","G1"
"6633","S","G1"
"6634","G2M","G2M"
"6635","S","G1"
"6636","G2M","M"
"6637","G1","G1"
"6638","G1","G1"
"6639","G1","G1"
"6640","G1","G1"
"6641","G1","G1"
"6642","G1","G1"
"6643","G2M","M"
"6644","G1","G1"
"6645","G2M","G1"
"6646","G1","G1"
"6647","G1","G1"
"6648","S","G1"
"6649","G1","G1"
"6650","G1","G1"
"6651","G1","G1"
"6652","G1","G1"
"6653","S","G1"
"6654","G1","G1"
"6655","G1","G1"
"6656","G1","G1"
"6657","G1","G1"
"6658","G2M","G1"
"6659","S","G1S"
"6660","G1","G1"
"6661","G1","G1"
"6662","G2M","M"
"6663","S","G1S"
"6664","G1","G1"
"6665","G2M","M"
"6666","G2M","M"
"6667","S","G1"
"6668","G1","G1"
"6669","G1","G1"
"6670","G1","G1"
"6671","S","G1"
"6672","G2M","M"
"6673","G2M","G2"
"6674","G1","G1"
"6675","G1","G1"
"6676","G1","G1"
"6677","G1","G1"
"6678","S","G1"
"6679","G2M","G2M"
"6680","G1","G1"
"6681","S","G1"
"6682","G1","G1"
"6683","G2M","G2M"
"6684","S","G1"
"6685","G1","G1"
"6686","G1","G1"
"6687","G1","G1"
"6688","G2M","M"
"6689","S","G1"
"6690","G1","G1"
"6691","G1","G1"
"6692","G2M","M"
"6693","S","G1"
"6694","G1","G1"
"6695","G2M","M"
"6696","G1","G1"
"6697","S","G1"
"6698","G1","G1"
"6699","G1","G1"
"6700","G1","G1"
"6701","G1","G1"
"6702","G1","G1"
"6703","G1","G1"
"6704","G1","G1"
"6705","G1","G1"
"6706","G1","G1"
"6707","G1","G1"
"6708","G2M","M"
"6709","S","G1"
"6710","G2M","G2M"
"6711","G1","G1"
"6712","G1","G1"
"6713","G2M","G2M"
"6714","G2M","M"
"6715","G1","G1"
"6716","G1","G1"
"6717","G1","G1"
"6718","S","M"
"6719","G2M","M"
"6720","G1","G1"
"6721","G1","G1"
"6722","S","G1S"
"6723","S","G1"
"6724","G1","G1"
"6725","G2M","G1"
"6726","G1","G1"
"6727","G1","G1"
"6728","G1","G1"
"6729","G1","G1"
"6730","G2M","M"
"6731","S","G1"
"6732","G2M","G1"
"6733","G1","G1"
"6734","G1","G1"
"6735","G1","G1"
"6736","G1","G1"
"6737","G1","G1"
"6738","G1","G1"
"6739","S","S"
"6740","G1","G1"
"6741","G1","G1"
"6742","G1","G1"
"6743","S","G1S"
"6744","G1","G1"
"6745","G1","G1"
"6746","S","G1S"
"6747","G2M","M"
"6748","G1","G1"
"6749","S","G1S"
"6750","G1","G1"
"6751","G2M","M"
"6752","G1","G1"
"6753","G1","G1"
"6754","S","G1"
"6755","G2M","G1"
"6756","G2M","M"
"6757","G2M","G2M"
"6758","G1","G1"
"6759","S","G1"
"6760","S","G1"
"6761","S","G1"
"6762","G1","G1"
"6763","G1","G1"
"6764","S","G1"
"6765","G2M","G2M"
"6766","G2M","M"
"6767","S","G1"
"6768","G1","G1"
"6769","G1","G1"
"6770","G1","G1"
"6771","S","G1"
"6772","G1","G1"
"6773","G2M","M"
"6774","G1","G1"
"6775","G2M","M"
"6776","G1","G1"
"6777","G1","G1"
"6778","G2M","M"
"6779","G1","G1"
"6780","S","G1S"
"6781","G1","G1"
"6782","G1","G1"
"6783","S","G1"
"6784","G1","G1"
"6785","S","G1"
"6786","G2M","G1"
"6787","G1","G1"
"6788","G2M","G1"
"6789","G1","G1"
"6790","G1","G1"
"6791","G1","G1"
"6792","S","G1"
"6793","S","G1S"
"6794","G1","G1"
"6795","G2M","M"
"6796","S","G1"
"6797","G1","G1"
"6798","G1","G1"
"6799","G2M","M"
"6800","G2M","G1"
"6801","G1","G1"
"6802","G1","G1"
"6803","G1","G1"
"6804","S","G1"
"6805","G1","G1"
"6806","G1","G1"
"6807","G2M","M"
"6808","S","G1"
"6809","S","G1"
"6810","G2M","G2M"
"6811","S","G1"
"6812","G1","G1"
"6813","G1","G1"
"6814","S","G1"
"6815","G1","G1"
"6816","S","G1"
"6817","G2M","M"
"6818","G1","G1"
"6819","S","S"
"6820","G1","G1"
"6821","G2M","M"
"6822","G2M","G1"
"6823","G1","G1"
"6824","S","G1"
"6825","S","S"
"6826","G2M","M"
"6827","G1","G1"
"6828","G1","G1"
"6829","S","G1"
"6830","G1","G1"
"6831","G2M","M"
"6832","G2M","G2M"
"6833","S","G1"
"6834","G2M","M"
"6835","G1","G1"
"6836","S","G1"
"6837","G1","G1"
"6838","G2M","M"
"6839","G1","G1"
"6840","G1","G1"
"6841","G1","G1"
"6842","G1","G1"
"6843","G1","G1"
"6844","G2M","G1"
"6845","G1","G1"
"6846","G2M","G1"
"6847","S","G1"
"6848","G1","G1"
"6849","G1","G1"
"6850","S","G1"
"6851","G1","G1"
"6852","G1","G1"
"6853","G1","G1"
"6854","G1","G1"
"6855","S","G1"
"6856","G1","G1"
"6857","G1","G1"
"6858","G1","G1"
"6859","G2M","G2M"
"6860","G2M","G1"
"6861","G1","G1"
"6862","G1","G1"
"6863","G1","G1"
"6864","G1","G1"
"6865","G2M","M"
"6866","G1","G1"
"6867","G1","G1"
"6868","G1","G1"
"6869","G1","G1"
"6870","G2M","G1"
"6871","G1","G1"
"6872","G1","G1"
"6873","G1","G1"
"6874","G1","G1"
"6875","G1","G1"
"6876","G1","G1"
"6877","S","G1"
"6878","G1","G1"
"6879","G1","G1"
"6880","S","G1"
"6881","G2M","G2M"
"6882","G2M","G2M"
"6883","G1","G1"
"6884","S","G1"
"6885","G1","G1"
"6886","G1","G1"
"6887","S","G1"
"6888","G1","G1"
"6889","G1","G1"
"6890","G2M","M"
"6891","G1","G1"
"6892","G1","G1"
"6893","S","G1S"
"6894","G1","G1"
"6895","G1","G1"
"6896","G2M","G1"
"6897","G1","G1"
"6898","G2M","M"
"6899","S","G1"
"6900","S","G1"
"6901","S","G1S"
"6902","G1","G1"
"6903","G1","G1"
"6904","G2M","M"
"6905","G1","G1"
"6906","G1","G1"
"6907","S","G1"
"6908","G1","G1"
"6909","G1","G1"
"6910","S","G1"
"6911","G1","G1"
"6912","G1","G1"
"6913","G1","G1"
"6914","S","G1"
"6915","G2M","G2M"
"6916","G1","G1"
"6917","G1","G1"
"6918","G1","G1"
"6919","S","G1"
"6920","S","G1"
"6921","S","G1"
"6922","G2M","M"
"6923","G1","G1"
"6924","S","G1"
"6925","G2M","M"
"6926","G1","G1"
"6927","G2M","G1"
"6928","G2M","G2M"
"6929","G1","G1"
"6930","G1","G1"
"6931","G1","G1"
"6932","G1","G1"
"6933","S","G1"
"6934","G1","G1"
"6935","G1","G1"
"6936","G2M","G2M"
"6937","G1","G1"
"6938","S","G1"
"6939","G1","G1"
"6940","S","G1"
"6941","G1","G1"
"6942","S","G1"
"6943","G2M","M"
"6944","G1","G1"
"6945","G1","G1"
"6946","G1","G1"
"6947","G1","G1"
"6948","G1","G1"
"6949","G2M","M"
"6950","S","G1S"
"6951","G1","G1"
"6952","G1","G1"
"6953","G1","G1"
"6954","S","G1"
"6955","G1","G1"
"6956","G1","G1"
"6957","G1","G1"
"6958","S","G1S"
"6959","G1","G1"
"6960","G1","G1"
"6961","G1","G1"
"6962","G1","G1"
"6963","S","G1"
"6964","G1","G1"
"6965","G1","G1"
"6966","S","G1"
"6967","G2M","M"
"6968","G1","G1"
"6969","G1","G1"
"6970","G2M","G1"
"6971","G2M","M"
"6972","G1","G1"
"6973","G2M","G1"
"6974","G2M","M"
"6975","G2M","M"
"6976","S","G1"
"6977","S","M"
"6978","G1","G1"
"6979","G1","G1"
"6980","G2M","G2M"
"6981","G1","G1"
"6982","G1","G1"
"6983","G1","G1"
"6984","G1","G1"
"6985","G1","G1"
"6986","S","G1"
"6987","G1","G1"
"6988","G1","G1"
"6989","G1","G1"
"6990","G1","G1"
"6991","G1","G1"
"6992","G2M","G2M"
"6993","G1","G1"
"6994","G1","G1"
"6995","G2M","M"
"6996","G2M","G2M"
"6997","G1","G1"
"6998","G2M","G1"
"6999","G2M","M"
"7000","S","S"
"7001","G1","G1"
"7002","S","S"
"7003","G1","G1"
"7004","S","G1"
"7005","S","G1"
"7006","G1","G1"
"7007","G2M","G2"
"7008","G2M","G1"
"7009","G1","G1"
"7010","S","G1"
"7011","G1","G1"
"7012","S","G1"
"7013","S","G1S"
"7014","G1","G1"
"7015","G2M","G2M"
"7016","G2M","M"
"7017","G1","G1"
"7018","G1","G1"
"7019","G1","G1"
"7020","G1","G1"
"7021","G1","G1"
"7022","S","G2"
"7023","S","G1"
"7024","G1","G1"
"7025","G1","G1"
"7026","G1","G1"
"7027","G1","M"
"7028","G2M","M"
"7029","G2M","M"
"7030","G1","G1"
"7031","S","S"
"7032","G1","G1"
"7033","G1","G1"
"7034","S","G1"
"7035","G1","G1"
"7036","S","G1"
"7037","S","G1"
"7038","S","G1"
"7039","G1","G1"
"7040","S","G1"
"7041","G1","G1"
"7042","G1","G1"
"7043","G1","G1"
"7044","G1","G1"
"7045","S","G1"
"7046","S","G1"
"7047","G1","G1"
"7048","G2M","G2M"
"7049","G2M","M"
"7050","S","S"
"7051","G2M","G2M"
"7052","S","G1"
"7053","G1","G1"
"7054","G1","G1"
"7055","G1","G1"
"7056","G1","G1"
"7057","S","G1"
"7058","S","G1"
"7059","G1","G1"
"7060","G2M","M"
"7061","G1","G1"
"7062","G1","G1"
"7063","S","G1"
"7064","G1","G1"
"7065","G1","G1"
"7066","G1","G1"
"7067","G2M","M"
"7068","G1","G1"
"7069","G2M","G2M"
"7070","G1","G1"
"7071","G1","G1"
"7072","G1","G1"
"7073","S","S"
"7074","G1","G1"
"7075","G2M","M"
"7076","S","G1"
"7077","S","G1S"
"7078","G1","G1"
"7079","G1","G1"
"7080","G1","G1"
"7081","G2M","M"
"7082","G1","G1"
"7083","G1","G1"
"7084","G1","G1"
"7085","S","S"
"7086","G2M","G1"
"7087","G1","G1"
"7088","S","G1"
"7089","G1","G1"
"7090","G2M","M"
"7091","G1","G1"
"7092","G1","G1"
"7093","S","G1"
"7094","G2M","M"
"7095","G2M","M"
"7096","S","G1S"
"7097","S","G1"
"7098","G2M","M"
"7099","G1","G1"
"7100","G1","G1"
"7101","G1","G1"
"7102","G1","G1"
"7103","G2M","G1"
"7104","G1","G1"
"7105","S","G1"
"7106","G1","G1"
"7107","G1","G1"
"7108","G1","G1"
"7109","S","G1"
"7110","S","G1"
"7111","G2M","M"
"7112","G1","G1"
"7113","G1","G1"
"7114","S","G2"
"7115","G1","G1"
"7116","G2M","G2M"
"7117","G1","G1"
"7118","G1","G1"
"7119","G1","G1"
"7120","G2M","M"
"7121","S","G1"
"7122","G1","G1"
"7123","G1","G1"
"7124","S","G1"
"7125","G2M","M"
