"","Phase","recat"
"423","G1","G1"
"424","G1","G1"
"425","G1","G1"
"426","S","G1"
"427","G1","G1"
"428","G1","G1"
"429","S","G1"
"430","G1","G1"
"431","S","G1"
"432","S","G1"
"433","G1","G1"
"434","S","S"
"435","S","G1"
"436","G1","G1"
"437","G1","G1"
"438","S","G1"
"439","G1","G1"
"440","G1","G1"
"441","G1","G1"
"442","G1","G1"
"443","S","G1S"
"444","G1","G1"
"445","S","G1"
"446","G1","G1"
"447","G1","G1"
"448","G1","G1"
"449","G2M","M"
"450","G2M","M"
"451","S","G2"
"452","G1","G1"
"453","G2M","M"
"454","G1","G1"
"455","G2M","M"
"456","G1","G1"
"457","G2M","M"
"458","G1","G1"
"459","G2M","G2"
"460","S","G1S"
"461","S","G1"
"462","S","G1"
"463","S","G1"
"464","G1","G1"
"465","G2M","M"
"466","G1","G1"
"467","G2M","G1"
"468","G2M","M"
"469","G1","G1"
"470","G1","G1"
"471","S","G1"
"472","G2M","G1"
"473","S","G1"
"474","S","G1"
"475","S","G2M"
"476","G1","G1"
"477","G2M","M"
"478","G1","G1"
"479","S","G1"
"480","S","G1S"
"481","G1","G1"
"482","G1","G1"
"483","G1","G1"
"484","G1","G1"
"485","S","G1S"
"486","G1","G1"
"487","G2M","M"
"488","G1","G1"
"489","S","G1"
"490","S","G1"
"491","G1","G1"
"492","G2M","G1"
"493","S","G1"
"494","S","G1"
"495","G1","G1"
"496","G2M","M"
"497","G1","G1"
"498","S","G1"
"499","S","G1"
"500","G2M","M"
"501","G1","G1"
"502","G1","G1"
"503","G1","G1"
"504","G2M","G2M"
"505","G1","G1"
"506","G1","G1"
"507","G1","G1"
"508","G1","G1"
"509","G2M","M"
"510","G1","G1"
"511","G1","G1"
"512","G2M","G1"
"513","G1","G1"
"514","G1","G1"
"515","G1","G1"
"516","G1","G1"
"517","G2M","G1"
"518","G2M","M"
"519","G1","G1"
"520","G1","G1"
"521","G1","G1"
"522","G2M","M"
"523","G1","G1"
"524","S","G1"
"525","G1","G1"
"526","G1","G1"
"527","G1","G1"
"528","G1","G1"
"529","G1","G1"
"530","G2M","M"
"531","G2M","G1"
"532","G2M","M"
"533","G1","G1"
"534","G2M","G2M"
"535","S","G2M"
"536","S","G1"
"537","S","G1S"
"538","S","G1"
"539","G1","G1"
"540","G1","G1"
"541","G1","G1"
"542","G1","G1"
"543","G1","G1"
"544","G1","G1"
"545","G1","G1"
"546","G2M","G2M"
"547","S","G1"
"548","G1","G1"
"549","S","G1"
"550","G1","G1"
"551","G2M","M"
"552","S","G1"
"553","S","S"
"554","G1","G1"
"555","G1","G1"
"556","G1","G1"
"557","G1","G1"
"558","G2M","M"
"559","G1","G1"
"560","G1","G1"
"561","G1","G1"
"562","G1","M"
"563","G1","G1"
"564","G2M","M"
"565","G1","G1"
"566","G2M","M"
"567","G1","G1"
"568","S","G1"
"569","G1","G1"
"570","G1","G1"
"571","G1","G2M"
"572","G1","G1"
"573","S","G1"
"574","G2M","G2"
"575","G1","G1"
"576","S","G1S"
"577","G1","G1"
"578","G2M","M"
"579","G2M","G2M"
"580","G1","G1"
"581","G1","G1"
"582","G1","G1"
"583","G1","G1"
"584","G2M","M"
"585","S","G1"
"586","G1","G1"
"587","G2M","G1"
"588","S","G1"
"589","G1","G1"
"590","G2M","G2M"
"591","G1","G1"
"592","G2M","M"
"593","G1","G1"
"594","G1","G1"
"595","G1","G1"
"596","G1","G1"
"597","G1","G1"
"598","S","G1S"
"599","G1","G1"
"600","G2M","G1"
"601","G1","G1"
"602","S","G1"
"603","G2M","M"
"604","G2M","G2M"
"605","G1","G1"
"606","S","G1"
"607","G2M","M"
"608","S","G1"
"609","G2M","G2"
"610","G1","G1"
"611","G1","G1"
"612","S","G1"
"613","G2M","M"
"614","G1","G1"
"615","S","G1"
"616","S","G1"
"617","S","G1"
"618","G2M","G1"
"619","G1","G1"
"620","G2M","M"
"621","S","M"
"622","S","G1S"
"623","G1","G1"
"624","G1","G1"
"625","G1","G1"
"626","G1","G1"
"627","S","G1"
"628","G2M","M"
